case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_00,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_00.step,0.1,10,1.0,"[0.0, 0.12460249274666332, 0.2026237006334107, 0.25211266708032665, 0.32861970186754613, 0.4048972918270962, 0.441746554900947, 0.8359064593997405, 0.9324525234388781, 0.9717293561512613, 1.0]","[0.0, -0.0008187479652058171, 0.0005560583795755384, 0.0019379564394724725, -0.004527583384644212, 0.004599740866892965, 0.000589773082717091, 4.9527151679888866e-05, 0.002842770967777781, 0.0018726881245149625, 0.0]",0.1,1.0
channel_01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_01.step,0.1,10,1.0,"[0.0, 0.0371083058205342, 0.1256624063694241, 0.337579730297562, 0.4293955804077412, 0.4522977897001715, 0.651386558749771, 0.6763078883685162, 0.7787352436979658, 0.800905857005716, 1.0]","[0.0, -0.0025962301462021226, 0.0040940365892788745, -0.004557144295217752, 0.0006941454446582366, -0.00022140454801565426, 0.004220314747440064, -0.0007640986317119349, -0.002769089284145109, -0.00037394281839112607, 0.0]",0.1,1.0
channel_02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_02.step,0.1,10,1.0,"[0.0, 0.04781229246298206, 0.14788327584088895, 0.20437118415310218, 0.2897126185472958, 0.317260258223699, 0.5195951808823722, 0.5720340407068806, 0.5975731678567372, 0.9208996993969287, 1.0]","[0.0, -0.002511194078266606, -0.002210253732888298, 0.0007776935531435989, 0.0026417225918900647, 0.0019593697687198637, 0.0004903595349626281, 0.00036215880891285294, 0.0037667957527675513, -0.0027474669561081515, 0.0]",0.1,1.0
channel_03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_03.step,0.1,10,1.0,"[0.0, 0.12508055641359958, 0.34309097500370145, 0.4366740879936784, 0.6372081526653061, 0.7208811968653576, 0.7895393744059425, 0.8460841969427548, 0.9101003923582551, 0.9355540650364983, 1.0]","[0.0, 0.0036273766144413466, 0.003626016928124377, -0.0022380474512303586, -3.4960081363665484e-05, 0.0023920097653192703, -0.0004795095392461828, -0.0021569097451419198, 0.0038172879824713048, 0.004987131868319951, 0.0]",0.1,1.0
channel_04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_04.step,0.1,10,1.0,"[0.0, 0.06296569765557428, 0.1959841855861132, 0.32145571894998004, 0.47053097462194043, 0.6064254908086236, 0.6510432987507094, 0.7155272913627827, 0.7794408841386348, 0.9632155431320595, 1.0]","[0.0, 0.003983873284486598, 0.0009733552916875053, 0.0005960060446994651, 7.67664029587391e-05, 0.003110922604151665, 0.0004186384542165236, 0.002418716239779407, 0.0031889393253456723, 0.0014344147688232743, 0.0]",0.1,1.0
channel_05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_05.step,0.1,10,1.0,"[0.0, 0.035343425895834155, 0.07688530057082617, 0.19585550494193982, 0.4765984227860618, 0.5269887004728638, 0.5574092847354672, 0.6331385376703895, 0.7159631026445836, 0.7831891071320867, 1.0]","[0.0, 0.0011677385500726868, -0.002087414672648968, 0.003856543905078993, 0.0010344608167278191, 0.0015333611887646832, -0.00398522141092524, 1.5302655479713934e-05, 0.0015623667849778743, -0.0031810455291935253, 0.0]",0.1,1.0
channel_06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_06.step,0.1,10,1.0,"[0.0, 0.06112882022006804, 0.21216987990799313, 0.24885221613973768, 0.27113343877416707, 0.3976909377471304, 0.47442724597897123, 0.6322960718686887, 0.9009079581125692, 0.9430558658383748, 1.0]","[0.0, 0.0002847388175274794, 0.004025493389569609, 0.004549815320337009, -0.003982898594366775, -0.0037489801508102565, 0.0017209172691532533, 0.0033826565327236564, 0.0023247470258845934, -0.004461188449869557, 0.0]",0.1,1.0
channel_07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_07.step,0.1,10,1.0,"[0.0, 0.07478325520337539, 0.12809592298083997, 0.18676388827756038, 0.3391288251469494, 0.4109199706652896, 0.6056574272565083, 0.8263776219737402, 0.8471768009193379, 0.8748219854917798, 1.0]","[0.0, 0.0014406477955637067, 0.002240376591205977, 0.003182358642269791, -0.001324255976712008, -0.004865445946757238, 0.0030770521174481678, -0.001675858880591931, -0.004492023971146458, -0.004123824671879547, 0.0]",0.1,1.0
channel_08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_08.step,0.1,10,1.0,"[0.0, 0.03219593687155826, 0.3458705413938711, 0.41422542256064293, 0.4950205003105107, 0.5890429602861604, 0.6610801905698876, 0.7682352338811687, 0.8572067836048795, 0.9456452368435436, 1.0]","[0.0, 0.0018208898440516463, -0.0038907793035873528, -0.003668281500506426, 0.0010488368748859623, -0.0015292224854971995, -0.0005712538694693774, -0.0037357933210485804, 0.0011754796729637395, 0.0003695122309287594, 0.0]",0.1,1.0
channel_09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_09.step,0.1,10,1.0,"[0.0, 0.062196943826835445, 0.20927464081768327, 0.37668944622698625, 0.41152306074790823, 0.4874827067235768, 0.634852451671426, 0.7271544856187195, 0.8813105155318604, 0.9274638111194148, 1.0]","[0.0, 0.0005246286020776985, -0.002963041002032643, 0.003955035922146298, 0.003313203503948075, -0.003223482336401737, 0.0003651267204202767, 1.1829658115605074e-05, -0.004559316489303051, 0.0031943283609211486, 0.0]",0.1,1.0
