case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_000,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_000.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_000.step,0.1,5,0.5,"[0.0, 0.14837181347306577, 0.2931117808122078, 0.4404451967848052, 0.4753847075778397, 0.5]","[0.0, 0.00475622351636756, 0.00261139701990353, 0.0028606430527695383, -0.003718863673244542, 0.0]",0.1,1.0
channel_001,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_001.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_001.step,0.1,5,0.5,"[0.0, 0.1168086998353336, 0.1433241808079129, 0.2640607618363235, 0.4442115553383413, 0.5]","[0.0, -0.0005658580117266889, -0.002727612782152232, 0.0005458478701583485, -0.004361827438958248, 0.0]",0.1,1.0
channel_002,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_002.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_002.step,0.1,5,0.5,"[0.0, 0.09797330139674246, 0.15370549789113683, 0.28163146197153394, 0.32097567177301334, 0.5]","[0.0, 0.003931211213221977, 0.0027838349707376194, -0.003053612921480325, -0.00033278996272965815, 0.0]",0.1,1.0
channel_003,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_003.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_003.step,0.1,5,0.5,"[0.0, 0.03188125071238386, 0.0795711164090697, 0.20521156127341883, 0.2851256539606961, 0.5]","[0.0, -0.0017417464186184808, -0.0012954029396513114, -0.00030444188724192047, -0.0031052864091571436, 0.0]",0.1,1.0
channel_004,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_004.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_004.step,0.1,5,0.5,"[0.0, 0.06331337484683866, 0.12386517389336926, 0.2545838107615465, 0.3119908433900036, 0.5]","[0.0, 0.0033267819605783747, 0.0020026510200224917, -0.0018763335861795897, 0.003322598013952011, 0.0]",0.1,1.0
channel_005,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_005.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_005.step,0.1,5,0.5,"[0.0, 0.18704245503555728, 0.3454335063876136, 0.3999744356046837, 0.4595583280604541, 0.5]","[0.0, -0.0030009179752489173, -0.004926377302489945, 0.0028692437750213844, 0.0016485085659203218, 0.0]",0.1,1.0
channel_006,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_006.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_006.step,0.1,5,0.5,"[0.0, 0.3052872384427976, 0.36552248184196606, 0.40580222279167827, 0.4542010478323506, 0.5]","[0.0, -0.0038546992646402664, 0.001684029617904717, -0.00028903793856867484, 0.0006523610648118882, 0.0]",0.1,1.0
channel_007,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_007.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_007.step,0.1,5,0.5,"[0.0, 0.21854808117462876, 0.31732069507033145, 0.3988258109046934, 0.4578442298486993, 0.5]","[0.0, -0.004691821654320607, -0.0006328261076763769, -0.0028541532718047084, -0.000914713562753639, 0.0]",0.1,1.0
channel_008,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_008.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_008.step,0.1,5,0.5,"[0.0, 0.15777037824376633, 0.20032916055877742, 0.2237089289681441, 0.30653585687836127, 0.5]","[0.0, 0.001619165147268951, 0.0005703215234127831, 0.0028389820910641357, 0.0016431354032738757, 0.0]",0.1,1.0
channel_009,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_009.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_009.step,0.1,5,0.5,"[0.0, 0.1765142042249413, 0.26936547814485073, 0.36658704092444183, 0.45036833935247456, 0.5]","[0.0, 0.002223593505964503, -0.0003812276974861266, -0.0033872822096639825, 1.044775103363569e-05, 0.0]",0.1,1.0
channel_010,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_010.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_010.step,0.1,20,2.0,"[0.0, 0.03410708593726907, 0.19861439641660422, 0.31593902140280417, 0.36074123779190026, 0.39585206394474215, 0.4558544190982217, 0.49881770049672014, 0.5245231891059408, 0.5824569632022362, 0.7720937233809484, 0.8680916202315807, 1.1202934192307827, 1.2944536634829635, 1.3986658394188534, 1.5580738254138036, 1.632834400858577, 1.7332767883775038, 1.7819191410412427, 1.8184207560908086, 2.0]","[0.0, -0.00044223710166388895, -0.0029763663520476972, -0.0019404337584934756, 0.0007921956894189602, -0.003232272170607684, 0.0035661428409237556, 0.002585195298352101, 0.0021946295595093685, -0.0006790696022489634, 0.0012730884070244319, 0.0008409796891273563, 0.0014984660155482003, -0.00415555678860111, -0.0008419259782939037, -0.004583858261381076, -6.009180755481031e-05, -0.0017013878766721472, -0.0035547581113395317, -0.003965970322774484, 0.0]",0.1,1.0
channel_011,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_011.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_011.step,0.1,20,2.0,"[0.0, 0.20963024249448037, 0.2857554629427943, 0.40914553507203194, 0.45365743326147606, 0.5901323848653465, 0.7241665709536095, 0.7506373180889456, 1.1480196960339015, 1.2148206038383873, 1.3319357081482281, 1.3688677106436273, 1.4572228076951548, 1.4971107348487918, 1.629246300151546, 1.6814204082056372, 1.7555514392785778, 1.8122413478968684, 1.88459460580011, 1.9374096860717573, 2.0]","[0.0, -0.004783879201196697, 0.0032629192419435793, 0.003961607718397668, -0.003597509110013893, 0.0005403614353904941, -0.0039142425886455655, 0.0017224009303981169, -0.0021876621616099172, 0.0015942263469190176, 0.0022699461428688263, 0.002686474919176571, -0.003922590540441035, 0.00416011845137608, -0.0026978600910511925, -0.004625874438238203, 0.0005485246939148335, -0.0012907771613756129, 0.003297897431324132, 0.003082514720643019, 0.0]",0.1,1.0
channel_012,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_012.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_012.step,0.1,20,2.0,"[0.0, 0.0787608929562283, 0.12596412900849352, 0.16933734696369185, 0.3532042973539039, 0.41595272073611067, 0.5388274304920054, 0.5820765363316595, 0.6163649828403682, 0.7241077451990257, 0.8529754195338133, 0.9460083608471126, 1.05720303623896, 1.1554561123995017, 1.259323913141892, 1.4524950662343687, 1.6893519270363464, 1.7602243577493861, 1.787194032972915, 1.9150080055862297, 2.0]","[0.0, 0.004368131505337793, -0.002590294249943153, -0.0037724206758851407, 0.0033111267212490615, -0.0034671568337550605, -0.0032073169184226097, 0.0009938279152084352, 0.0037456204083746447, -0.003035653342854268, -0.0018967632709990527, 0.002774048382411776, 0.004718264260609674, 7.411862023422831e-06, -0.0035610249744874927, -0.004860637122917986, -0.002703439700011448, -0.0036817778221347906, 0.001776586736128575, -0.0037816749537146893, 0.0]",0.1,1.0
channel_013,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_013.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_013.step,0.1,20,2.0,"[0.0, 0.07388867362109638, 0.17402575712658364, 0.4200578489213679, 0.46293494366471366, 0.6196392029902342, 0.6997832661216143, 0.856033898189798, 0.9042390327768859, 0.9504468130503707, 0.990354376926926, 1.0925682232072922, 1.1637306572151473, 1.2519401870911873, 1.3729714888475104, 1.483862794395329, 1.586187015383038, 1.7163477334014616, 1.739059863230489, 1.8775839273062471, 2.0]","[0.0, -0.003941025962492468, -0.0035966040293608746, -0.000808856806836962, 0.0046623191214318176, 0.0009604255323437281, 0.004330232216002114, 0.0030436091561297073, -0.00032618398444708534, 0.0028476344925218756, -0.004821632160230124, -0.003908560032342651, 0.003294286148827364, 0.0029681708832516186, -0.0026735925803356634, 0.0003076959059905345, 0.0010601582070001092, 0.003677389537760112, 0.0010310715733872567, -0.000874284307263197, 0.0]",0.1,1.0
channel_014,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_014.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_014.step,0.1,20,2.0,"[0.0, 0.06704199274375121, 0.1098651434986459, 0.2590188108498419, 0.47985404747446603, 0.7503148242326475, 0.798646293814639, 0.9148760552052984, 0.9830287963756824, 1.1636239554276404, 1.204329070215482, 1.2298588108298205, 1.283715983938631, 1.3103445977927544, 1.374538602995503, 1.4403063854601574, 1.4709433695433218, 1.7805549161533814, 1.8289023038690977, 1.9611705022651424, 2.0]","[0.0, -0.0038450993633464513, -0.004788519836635601, -0.0044460459083574, -0.0032535852906414734, -0.004466180673728247, 0.000911438161109712, 0.001807145267995064, -0.001063695431679718, -0.001820089030479506, 4.526237022230064e-05, 0.003750049422346087, 0.0035113162682220613, -0.004565249379872081, -0.0031850159040347596, -0.0026325512889560404, -0.0025061242416778823, 0.0007123265174277275, -0.0008373757429680773, -0.004507458800724061, 0.0]",0.1,1.0
channel_015,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_015.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_015.step,0.1,20,2.0,"[0.0, 0.04789703088475826, 0.18992505688504208, 0.2157176587917109, 0.3111439670092474, 0.3350670080500286, 0.5632374601552255, 0.6029962064577588, 0.6420465352630568, 0.7467809845477711, 0.942402465324238, 1.2101865146882669, 1.33758863682767, 1.491876570511124, 1.5971348629241848, 1.6321008072742218, 1.7427074446046904, 1.7756791157073588, 1.8725671228436447, 1.9522063803283545, 2.0]","[0.0, 0.0013956327123711013, -0.0023353668249915397, -0.003602315890460432, -0.00022122725976254226, -0.0008311063140511504, -0.0026743005947112634, -0.0013248818988487203, -0.001336075501737526, -0.0017250443558745458, -0.0012053592027307107, 0.0018574334545594547, -0.0020312352542871475, 0.004488579267153405, 0.004163480195381779, -0.0001908957169992143, -0.0017163879499531125, 0.00035434789830003123, 0.0034856048877362454, 0.0015258734056010203, 0.0]",0.1,1.0
channel_016,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_016.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_016.step,0.1,20,2.0,"[0.0, 0.08971533122123973, 0.1968938551965368, 0.2277076367130484, 0.28158087405360954, 0.39678289338775674, 0.4915454183622671, 0.5288447712493305, 0.7758224426426792, 0.7986272539086352, 0.8999928217929638, 0.927039834155956, 1.1266213136350451, 1.1529485931652077, 1.2863452096924655, 1.3195783429953967, 1.6714041902511578, 1.7336512249657752, 1.8394690983131259, 1.931043690227886, 2.0]","[0.0, 0.004460270628173304, -0.0024661664616081286, 0.0009007589535830916, -0.004049508024355989, 0.0011616570002412133, -0.0032870869590721124, 0.0006495061147244185, 0.0007243051403384975, -0.0003401484701877266, 0.0002263177551312277, 0.00263923390006588, 0.0029924471651206676, -7.846784424570853e-05, 0.000995934415226123, 0.004312362356901019, -0.0038026641149887727, -0.0038289643409988956, -0.004122909880892317, 0.0015786328504052783, 0.0]",0.1,1.0
channel_017,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_017.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_017.step,0.1,20,2.0,"[0.0, 0.034676985720947545, 0.1363704271717696, 0.30210021028746725, 0.33068315972687606, 0.4115546694772743, 0.5988037852670611, 0.651888506799497, 0.7034451987476537, 0.7660227372966067, 0.799227653726121, 0.8307744562596966, 1.0499944839995452, 1.2239421388993157, 1.2816982461966984, 1.3224399972120133, 1.4286257134632807, 1.7274069567668136, 1.8863708628057037, 1.9375378890097363, 2.0]","[0.0, 0.004866315449243222, 0.0021776023600364354, 0.004511946600038412, -0.003815214227829587, 0.003505336791907827, 0.0013707388399120763, -0.003780783216648875, 0.0008825799996922071, 0.0018609636510544883, -0.004876973141113973, -0.0004568203815825348, 0.003253995111963212, -0.0020464097465591018, -0.0004145191820144889, -0.0005768587293210684, -0.0019807260855750847, 0.004184418955155544, 0.0028129403543151587, -0.003894115890038896, 0.0]",0.1,1.0
channel_018,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_018.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_018.step,0.1,20,2.0,"[0.0, 0.04962155404518811, 0.1675063543936908, 0.1887185788020947, 0.33126959068289163, 0.35272817931680933, 0.438782719598194, 0.46285635721940893, 0.5049343589233548, 0.5652279161306921, 0.7352862758203118, 0.7701743614829019, 1.058236298287346, 1.2284942042676206, 1.2539584985864316, 1.274574823735901, 1.306287007361195, 1.3935207056281185, 1.839083583767386, 1.883585999191387, 2.0]","[0.0, -0.004427680598467397, 0.003009638536416762, 0.004277954301722805, 0.002721083991043806, 0.001981207839786372, 0.003379802186553831, -0.004598487004529337, -0.002982178892809447, -0.0037507632069435698, 4.5309901929865316e-05, 0.002451881283288446, 0.0013001184457639868, 0.00351131099761935, -0.003447870075589092, 0.002346210919351616, -0.0030695850913109593, -0.002292412486821998, 0.0020990469728130396, 0.004802047848986819, 0.0]",0.1,1.0
channel_019,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_019.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_019.step,0.1,20,2.0,"[0.0, 0.050017726859564585, 0.07598567176475024, 0.18315042985785016, 0.21116792415461577, 0.5010490921491131, 0.5626622082245704, 0.6050913574757568, 0.6376880170539936, 0.7037609810421308, 0.8116227691171707, 0.9438061341179764, 1.0193257315926585, 1.2532879392262977, 1.371286156554143, 1.4025561382115321, 1.6269467039329095, 1.6724532429326122, 1.9071936664981248, 1.9467875894382325, 2.0]","[0.0, 0.004405944096955185, -0.0035156101007994206, 8.352738446942062e-05, -0.0009596560925923406, -0.00025831270517381877, -0.0038078247380225545, -0.0036590539012723473, -0.002219244542187427, -0.0019529539623916875, -0.0007209678631865, 0.001109875470366283, 0.0013462911741826305, -0.0008818910341442977, -0.0009121689057130294, -0.002823714733030381, 0.0008830624840900827, -0.0018295908868276216, -0.004639401657226364, -0.0008159995584313962, 0.0]",0.1,1.0
channel_020,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_020.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_020.step,0.1,5,1.0,"[0.0, 0.1279921042091079, 0.1940771943173888, 0.3893231227506595, 0.4494539457988742, 1.0]","[0.0, 0.0014794848220121004, 0.001524330565210316, -0.0018378584817595692, 0.002874322219859539, 0.0]",0.1,1.0
channel_021,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_021.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_021.step,0.1,5,1.0,"[0.0, 0.10365268498367937, 0.28660615596941236, 0.4513360956142083, 0.7496805477301511, 1.0]","[0.0, 0.0023670568848222035, 0.0038640288672370775, 0.004210571972951917, 3.63292518309917e-05, 0.0]",0.1,1.0
channel_022,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_022.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_022.step,0.1,5,1.0,"[0.0, 0.11920750982039571, 0.6184507594218073, 0.7184143323429301, 0.8890623592141731, 1.0]","[0.0, -0.003841432756647317, -0.004279408529270564, 0.0034199321103946315, -0.004444320830931222, 0.0]",0.1,1.0
channel_023,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_023.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_023.step,0.1,5,1.0,"[0.0, 0.09771277092331976, 0.4062211393300391, 0.5560376738784262, 0.7759869800133795, 1.0]","[0.0, -0.004853171564399294, 0.0032717342452068653, 0.003565480235745582, -0.0012773842680845185, 0.0]",0.1,1.0
channel_024,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_024.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_024.step,0.1,5,1.0,"[0.0, 0.09276797215658769, 0.422853187038866, 0.5313470301332195, 0.6957044796144349, 1.0]","[0.0, 0.004954644725836373, 0.0027210489135458564, -0.0018903849007923385, 0.0018766504916609252, 0.0]",0.1,1.0
channel_025,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_025.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_025.step,0.1,5,1.0,"[0.0, 0.25156367769948235, 0.4814976910991934, 0.8482130581279685, 0.8909180480964739, 1.0]","[0.0, 0.00025088302967261195, -0.003362486957417042, -0.003340931321234664, 0.00336304290550238, 0.0]",0.1,1.0
channel_026,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_026.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_026.step,0.1,5,1.0,"[0.0, 0.23613347922846306, 0.39223433048295425, 0.6167528068562661, 0.87083987463496, 1.0]","[0.0, 0.0025533017279474454, -0.0006622097267740702, -0.0003067306580959873, -0.003493270261867599, 0.0]",0.1,1.0
channel_027,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_027.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_027.step,0.1,5,1.0,"[0.0, 0.24180053189504438, 0.5608972083795626, 0.6105928127898951, 0.7666079724680549, 1.0]","[0.0, -9.802457598413576e-05, 0.000864451730147959, -6.71002414933345e-05, -0.00415884665443118, 0.0]",0.1,1.0
channel_028,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_028.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_028.step,0.1,5,1.0,"[0.0, 0.09523668385780171, 0.4455716369685325, 0.5594213331857663, 0.7310291222389073, 1.0]","[0.0, 0.0026290301903952908, -0.004418915182785528, -0.0013339161506738762, 0.0003952743526167866, 0.0]",0.1,1.0
channel_029,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_029.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_029.step,0.1,5,1.0,"[0.0, 0.1285196226104801, 0.2908912897584513, 0.5298160891892005, 0.7991585889792358, 1.0]","[0.0, 4.7914829034980885e-05, 0.0040955224387135, 0.0008712394053698056, 0.0035027429883372173, 0.0]",0.1,1.0
channel_030,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_030.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_030.step,0.1,20,1.0,"[0.0, 0.03175579920601951, 0.04784730320268851, 0.09339392531645499, 0.2127911292879083, 0.22954912037545672, 0.2580502088893981, 0.3102062575938106, 0.3444611362790128, 0.3567241254057843, 0.5422125563492461, 0.5850312989247017, 0.6073689938154219, 0.6383903093467451, 0.6496346765124901, 0.6936359049241841, 0.7731458016166342, 0.8172307461961729, 0.8899452215445568, 0.9284738390167441, 1.0]","[0.0, 0.0026143256318400766, 0.004033278719640531, 0.0022069594671835164, 0.004632112235493797, 0.0028200517073817735, 0.003668014382619265, -0.0038589592881636287, 0.0023241350299378774, -0.000599113004726314, 0.0005310380241127519, 0.0015410240948235676, 0.004698151167055695, 0.004845780814316247, -0.002117717545120948, 0.002337534974379162, 0.002499835379352687, -0.0015350713868695124, -0.0037613022513577907, -0.004590530397142804, 0.0]",0.1,1.0
channel_031,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_031.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_031.step,0.1,20,1.0,"[0.0, 0.10861423500300246, 0.14476129827687645, 0.224034952892393, 0.33553595192240604, 0.3844204374143129, 0.4064476457808004, 0.4323657281018456, 0.4448673924862847, 0.5143607211298676, 0.5538657494720757, 0.6328292060021733, 0.7036479202210678, 0.714678277589451, 0.7689749610209925, 0.7826386988577961, 0.7945570095214469, 0.8330820005099894, 0.8583585050512232, 0.9079043545145349, 1.0]","[0.0, 0.0023943146847650995, 0.003008715921066321, -0.004510362901767208, -0.002654648495587015, 0.0012189777337524577, 0.003581253046248232, -0.00495499875060341, 0.00014629342116349777, 0.0017728739936439721, -0.004703927108713869, -0.0009864444244661206, 0.0039563488138369685, 0.0017161280885585875, -0.0026234163663940275, 0.0035278112963191277, -0.0015196857659048571, 0.003533446711440595, -0.002010563488810945, 0.0009032025088314905, 0.0]",0.1,1.0
channel_032,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_032.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_032.step,0.1,20,1.0,"[0.0, 0.027649845163985855, 0.07250233216880998, 0.15800303928539516, 0.22558514943527957, 0.2363437904179755, 0.24828563965229233, 0.2914581153796616, 0.38307561578631105, 0.44366848972821193, 0.464531182012911, 0.562464793218032, 0.7551661026915747, 0.7873999271761511, 0.8326334600044583, 0.8745563306065378, 0.9033700458807605, 0.9364137492546426, 0.9657814925667552, 0.986759146139368, 1.0]","[0.0, -0.00046720083499836567, 0.0013454026495179723, -0.001567075376210923, -0.0007961822849472293, 0.004592092728445759, 0.002519631215749156, 0.0004085663694495126, -0.002154591248881748, 0.003969967987729953, -0.0026490288311934057, -0.0017465726948332296, 0.0040906481442294865, 0.00029542055285072377, 0.0024231794941797676, 0.0009074479416376615, 0.0015343920900949522, -0.0020061670848517447, -0.0025862793837333714, -0.001775076528313348, 0.0]",0.1,1.0
channel_033,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_033.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_033.step,0.1,20,1.0,"[0.0, 0.014677188822263142, 0.05461674634782676, 0.06737909372692369, 0.07991619006526925, 0.09582193043531385, 0.1188444416493507, 0.13365737025103316, 0.17955973365311056, 0.21073483026231773, 0.36067966103787563, 0.4640930525458461, 0.49372044225948464, 0.5211321736443694, 0.5344085413649801, 0.5895266403739605, 0.6960218216271818, 0.7240434558008483, 0.7772782216631908, 0.7878503449466656, 1.0]","[0.0, -0.0045892090669515315, -0.0025393338849506158, -0.004344695660816177, -0.0004488215758823768, 0.0001608780125711244, -0.0018743005097141613, -0.004490395174251141, -0.0038839963175077334, -0.0011549562201007193, -0.0043947154917346395, 0.0019818972560991348, -0.002929794584751881, -0.0019792843121636153, -0.001058742228219025, -0.0008339036693085214, -0.004983392923251995, -0.0038792962900130253, 0.003627645637408781, -0.00498766937488092, 0.0]",0.1,1.0
channel_034,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_034.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_034.step,0.1,20,1.0,"[0.0, 0.03279799660493202, 0.07625587641355196, 0.10051772617988558, 0.14896312462798386, 0.24625135041182178, 0.2861490304897174, 0.3242023180744504, 0.3414459648133733, 0.3816192388946187, 0.5023964748005361, 0.5402459408222072, 0.5850668227474894, 0.7324640548756456, 0.7615534266012505, 0.7737075760777342, 0.884063991296556, 0.9270765422694288, 0.9439032312274541, 0.9580950682217382, 1.0]","[0.0, 0.004188231935306829, -0.004907402181788767, -0.0031167802518864826, -0.004687164870983555, -0.003893705324377968, 0.001201492866282963, -0.002583610912609143, 0.0006921205043067683, 0.000901953827661262, 0.0034943533308977905, -0.004952586070881262, 0.0035336945934236683, 0.00119119086426974, -0.003372565138950425, 0.0027293738813528408, 0.003554915417905858, -0.0024573651624584273, 0.004187936809026809, -0.00045542569701342156, 0.0]",0.1,1.0
