case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_200,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_200.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_200.step,0.25,4,1.0,"[0.0, 0.38573549240440064, 0.8187334752858004, 0.930477043639309, 1.0]","[0.0, -0.004579995365833536, -0.004267428808375685, 0.0009580929565279799, 0.0]",0.25,1.0
channel_201,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_201.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_201.step,0.25,4,1.0,"[0.0, 0.24082729242521728, 0.47078173669126877, 0.7208154607016586, 1.0]","[0.0, 0.003820273352480033, -0.0018705627332520859, -0.00030858756195770946, 0.0]",0.25,1.0
channel_202,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_202.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_202.step,0.25,4,1.0,"[0.0, 0.07284874890585558, 0.23116116987815044, 0.92575963613947, 1.0]","[0.0, 0.0018788184111812323, -0.002816537818773246, -0.0017641129100443263, 0.0]",0.25,1.0
channel_203,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_203.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_203.step,0.25,4,1.0,"[0.0, 0.5238661555174534, 0.6715502874043099, 0.7849773498480286, 1.0]","[0.0, -3.71559355251249e-05, 0.0024643801267506867, -0.00017688887639246038, 0.0]",0.25,1.0
channel_204,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_204.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_204.step,0.25,4,1.0,"[0.0, 0.11412413100444312, 0.5088704112421388, 0.748793374405827, 1.0]","[0.0, 0.0027630063919075864, 0.000913244401330374, -0.0006954618704625871, 0.0]",0.25,1.0
channel_205,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_205.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_205.step,0.25,4,1.0,"[0.0, 0.24412588747074987, 0.4872106792266637, 0.645326152012994, 1.0]","[0.0, 0.0008000674872299966, 0.001935292581881934, 0.0040663746091687365, 0.0]",0.25,1.0
channel_206,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_206.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_206.step,0.25,4,1.0,"[0.0, 0.2717532584087205, 0.45603520586790075, 0.7806446745459915, 1.0]","[0.0, 0.004570949580589445, 9.769553263658682e-05, 0.00497762138676294, 0.0]",0.25,1.0
channel_207,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_207.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_207.step,0.25,4,1.0,"[0.0, 0.0679067497802285, 0.3771230611313641, 0.6329203444891953, 1.0]","[0.0, -0.0036280272012298854, -0.004859045599026695, -0.0046358030832739094, 0.0]",0.25,1.0
channel_208,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_208.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_208.step,0.25,4,1.0,"[0.0, 0.17952543967165263, 0.815528628051932, 0.8748719575470488, 1.0]","[0.0, -0.000484487810411687, 0.0042301142739885585, 0.0008916607713694846, 0.0]",0.25,1.0
channel_209,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_209.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_209.step,0.25,4,1.0,"[0.0, 0.09482569504551364, 0.46822656286468495, 0.7608115411144798, 1.0]","[0.0, 0.0013483982559027241, -0.0030846596937282667, -0.0045831892843483536, 0.0]",0.25,1.0
channel_210,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_210.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_210.step,0.2,5,1.0,"[0.0, 0.29674362694613154, 0.5862235616244156, 0.8808903935696104, 0.9507694151556794, 1.0]","[0.0, 0.00475622351636756, 0.00261139701990353, 0.0028606430527695383, -0.003718863673244542, 0.0]",0.2,1.0
channel_211,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_211.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_211.step,0.2,5,1.0,"[0.0, 0.2336173996706672, 0.2866483616158258, 0.528121523672647, 0.8884231106766826, 1.0]","[0.0, -0.0005658580117266889, -0.002727612782152232, 0.0005458478701583485, -0.004361827438958248, 0.0]",0.2,1.0
channel_212,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_ablation/channel_212.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_ablation/channel_212.step,0.2,5,1.0,"[0.0, 0.19594660279348491, 0.30741099578227365, 0.5632629239430679, 0.6419513435460267, 1.0]","[0.0, 0.003931211213221977, 0.0027838349707376194, -0.003053612921480325, -0.00033278996272965815, 0.0]",0.2,1.0
