case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_00,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_00.step,0.1,10,1.0,"[0.0, 0.10273956048555964, 0.19938878439752053, 0.30358597919911384, 0.40197368029059366, 0.49594177347887647, 0.6047562235163676, 0.7026113970199036, 0.8028606430527696, 0.8962811363267554, 1.0]","[0.0, -0.0004961406210443288, -0.0012920197576741879, 0.004267649888486019, 0.0014386512008066456, 0.0032276161327083, -0.0005658580117266889, -0.002727612782152232, 0.0005458478701583485, -0.004361827438958248, 0.0]",0.1,1.0
channel_01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_01.step,0.1,10,1.0,"[0.0, 0.10327631171992582, 0.20131664399122065, 0.30258087740085376, 0.3985452596812987, 0.504706980243949, 0.603931211213222, 0.7027838349707377, 0.7969463870785197, 0.8996672100372703, 1.0]","[0.0, -0.0045619623421277134, -0.0034571050793245225, 0.0018304895324245465, 0.0024476215590781714, 0.004675097324342101, -0.0017417464186184808, -0.0012954029396513114, -0.00030444188724192047, -0.0031052864091571436, 0.0]",0.1,1.0
channel_02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_02.step,0.1,10,1.0,"[0.0, 0.09629921505335472, 0.19975704926225935, 0.2972690934905089, 0.40169813994682513, 0.4993715191887233, 0.6033267819605784, 0.7020026510200226, 0.7981236664138205, 0.903322598013952, 1.0]","[0.0, 0.0030476435749680186, -0.0011252162096982558, -0.0021167189606975593, 0.0018249550397497552, -0.0036024751639069028, -0.0030009179752489173, -0.004926377302489945, 0.0028692437750213844, 0.0016485085659203218, 0.0]",0.1,1.0
channel_03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_03.step,0.1,10,1.0,"[0.0, 0.10205165378626335, 0.20280729031021968, 0.2995891577553834, 0.40068741195952895, 0.49639796998127655, 0.5961453007353599, 0.7016840296179048, 0.7997109620614313, 0.900652361064812, 1.0]","[0.0, 0.0026499885741602565, 0.0013471832000059086, 0.000535794006579958, 0.0005920716074541352, -0.0019604990193738785, -0.004691821654320607, -0.0006328261076763769, -0.0028541532718047084, -0.000914713562753639, 0.0]",0.1,1.0
channel_04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_04.step,0.1,10,1.0,"[0.0, 0.10353403073268166, 0.19733939485865343, 0.2955830274168907, 0.39781383892022, 0.49793593757766685, 0.601619165147269, 0.7005703215234128, 0.8028389820910642, 0.9016431354032739, 1.0]","[0.0, -0.0009361313855992953, 0.003140203846660347, -0.0033302708009229614, -0.004772879268661396, -0.004099521392243583, 0.002223593505964503, -0.0003812276974861266, -0.0033872822096639825, 1.044775103363569e-05, 0.0]",0.1,1.0
channel_05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_05.step,0.1,10,1.0,"[0.0, 0.09652312102713169, 0.20196320375077736, 0.2994615627557404, 0.39881021226096486, 0.49801512089147876, 0.601302825931189, 0.698618126105534, 0.7958764991931611, 0.8961800590212051, 1.0]","[0.0, 0.0046189766454951455, 0.004085806907076071, 0.0019970713381074956, -0.0023413003854048046, 0.00469176377347724, 0.0027875090396579467, 0.0021689018915899564, -0.0005063849785621136, -0.00227758438154841, 0.0]",0.1,1.0
channel_06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_06.step,0.1,10,1.0,"[0.0, 0.095963909621535, 0.20402602396543842, 0.29955776289833613, 0.39702363364795235, 0.49805956624150655, 0.600792195689419, 0.6967677278293923, 0.8035661428409238, 0.9025851952983521, 1.0]","[0.0, 0.0021946295595093685, -0.0006790696022489634, 0.0012730884070244319, 0.0008409796891273563, 0.0014984660155482003, -0.00415555678860111, -0.0008419259782939037, -0.004583858261381076, -6.009180755481031e-05, 0.0]",0.1,1.0
channel_07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_07.step,0.1,10,1.0,"[0.0, 0.09829861212332786, 0.19644524188866047, 0.2960340296772256, 0.40087644572177716, 0.49670592968536886, 0.6042512011837681, 0.7008106113970041, 0.7984686980453484, 0.9009091549148142, 1.0]","[0.0, -0.004771961289703026, 0.004585592132414454, -0.0001769656305709976, 0.0028273522725028623, -0.004172700000775615, -0.00013341669161839615, -9.293005645479111e-05, 0.004378264549749829, 0.0007172805237607542, 0.0]",0.1,1.0
channel_08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_08.step,0.1,10,1.0,"[0.0, 0.09973489401056955, 0.19766975663091896, 0.29831568997342556, 0.4002067240247154, 0.49938911460305047, 0.5952161207988034, 0.7032629192419436, 0.8039616077183978, 0.8964024908899861, 1.0]","[0.0, 0.0005403614353904941, -0.0039142425886455655, 0.0017224009303981169, -0.0021876621616099172, 0.0015942263469190176, 0.0022699461428688263, 0.002686474919176571, -0.003922590540441035, 0.00416011845137608, 0.0]",0.1,1.0
channel_09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_09.step,0.1,10,1.0,"[0.0, 0.09730213990894881, 0.1953741255617618, 0.30054852469391485, 0.3987092228386244, 0.5032978974313241, 0.6030825147206431, 0.6981713889282272, 0.8045289939506975, 0.8979091783814012, 1.0]","[0.0, 0.0001505712923171457, -0.002440349094323973, 0.004360435700489634, -0.003353921824179819, -0.004550893806076711, -0.0006490293999696205, 0.004923755640558372, 0.0039167726625491395, 0.0024860801945694923, 0.0]",0.1,1.0
