case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_00,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_00.step,150,10,1500.0,"[0.0, 227.549855699294, 449.5107066142223, 675.4625847604526, 728.4528200896531, 765.5552386606824, 914.9179573467483, 1060.7721021296857, 1347.4903479425066, 1384.0058213442544, 1500.0]","[-11.628177819067687, 38.40884899637416, 12.947860807259808, 29.048545194374697, -5.092722105540197, -24.54851503937008, 4.912630831425133, -39.25644695062422, 29.48680547933239, 11.849795920985834, 23.227896607683647]",126.74364436186464,0.1
channel_01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_01.step,150,10,1500.0,"[0.0, 73.6562811948239, 462.5445925366688, 732.1495425794305, 890.2025251938212, 1001.6442909457043, 1120.161031920289, 1165.2113772329901, 1230.2869808445757, 1394.1049780137334, 1500.0]","[42.0758759190789, -15.675717767566326, -11.658626456861803, -2.739976985177286, -27.947577682414288, -33.307064519807554, -2.186556639665966, -24.57815858542043, 15.283259521425933, -5.656327301490236, 29.94103764520537]",234.1517518381578,0.1
channel_02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_02.step,150,10,1500.0,"[0.0, 250.12652153162875, 294.95516221902346, 555.2312120456374, 860.2338917820327, 1118.067647968455, 1204.9325215914957, 1300.0996463048925, 1363.752854768997, 1465.7075045418833, 1500.0]","[25.823193975192453, 14.83657709328289, 18.46488407637016, 25.265612791977105, -3.697580201549407, 6.186707635760435, -32.41827016851083, -34.69229338176239, 15.156266561142445, -2.601341447118074, 5.871249583306991]",201.6463879503849,0.1
channel_03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_03.step,150,10,1500.0,"[0.0, 431.86231720978856, 621.2984848399201, 775.785149345704, 884.7586259864049, 959.6020164633856, 992.9663485623701, 1095.3639187814128, 1172.3914063964492, 1316.5168731484305, 1500.0]","[-23.945446272119334, -39.75275324798406, -19.67544971802031, -18.576561800998476, 14.572486325420556, 5.132893710715052, 25.55083881957721, 14.788218629464879, -8.42518247039365, 28.261834619943116, -29.972437208306648]",102.10910745576132,0.1
channel_04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_04.step,150,10,1500.0,"[0.0, 49.12131305046795, 88.00473614487049, 396.92102817376065, 499.8130987147608, 592.5526578325612, 774.467154577699, 834.8948322334606, 1176.5837155165716, 1416.5039166280176, 1500.0]","[-17.863911976691114, 11.725433380699961, -12.43686505019486, -37.11150726155091, -34.37946880915362, 41.5707898094563, 36.77226216368463, 17.973642042967462, -21.07170346864324, 42.22587396129515, 25.08758135692152]",114.27217604661779,0.1
channel_05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_05.step,150,10,1500.0,"[0.0, 163.0004175832782, 388.3758504474394, 487.9413149062027, 558.019814347907, 980.4573798440144, 1036.1274374603101, 1100.5057425240734, 1187.268074314587, 1394.2833310420635, 1500.0]","[32.0952855683138, 23.266757685168912, 19.751666035584307, -6.111626420240668, 11.45779566321989, 7.5688172021461995, 13.4861941399338, -37.40001109740998, -7.577333804645136, -41.254724352429676, -0.540826267993296]",214.19057113662757,0.1
channel_06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_06.step,150,10,1500.0,"[0.0, 145.4399030467043, 210.40417494979613, 245.85035630905247, 600.1055963151973, 726.0760311333437, 932.8662530489983, 1004.7799864591938, 1233.9444914991343, 1458.935448071008, 1500.0]","[41.270329191730085, -1.5926906751389822, 25.446170452525763, -37.554300006980526, -1.2007502245655672, -0.8363705080931183, 39.40438094774845, 6.455524713846785, -2.3859539048741567, -20.972190321729578, -15.158790239170305]",232.54065838346014,0.1
channel_07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_07.step,150,10,1500.0,"[0.0, 75.29265835605645, 164.07747686207148, 196.83180890261724, 379.0705535358339, 649.7405118191917, 735.4532989795057, 1091.898243552207, 1138.01738207338, 1435.0591824270898, 1500.0]","[14.348037122271158, 20.429515285819434, 24.178274272589135, -35.303314863969305, 37.44106606238471, -24.280740819460725, -41.63286994414382, 4.936722245233504, -11.61699445238051, 29.68107688191718, 27.74263248578717]",178.69607424454233,0.1
channel_08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_08.step,150,10,1500.0,"[0.0, 137.98732913685518, 217.97984384135066, 290.9337755012324, 622.0788639467428, 730.6394138909842, 949.6965330628049, 1022.4223787424218, 1078.680849272127, 1269.9293613609293, 1500.0]","[35.17132417906724, 35.41019757280769, 1.6972524347804168, -16.56638533522863, 24.48111888998892, 14.549513685098496, -11.370804401366094, -36.49799987446362, 22.211065021412338, -21.37855356694218, 39.31318354804013]",220.3426483581345,0.1
channel_09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_09.step,150,10,1500.0,"[0.0, 191.17286718391952, 242.81789704418793, 434.7212680899542, 553.055309304495, 600.8219867110314, 673.0798441350413, 1239.4681094585105, 1331.6438839406355, 1401.4699307665308, 1500.0]","[42.46437834548706, 0.06670675821080607, -32.049224770387426, -43.745734106261864, -24.330957300103027, -33.1360003992131, 15.989280625157171, -34.0350745834322, 0.5696938458569676, 17.483619207859782, 7.30049482988121]",234.92875669097413,0.1
