case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_00,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_00.step,0.1,10,1.0,"[0.0, 0.15169990379952936, 0.29967380440948155, 0.45030838984030175, 0.48563521339310206, 0.5103701591071216, 0.6099453048978322, 0.7071814014197904, 0.8983268986283375, 0.922670547562836, 1.0]","[-0.0012920197576741879, 0.004267649888486019, 0.0014386512008066456, 0.0032276161327083, -0.0005658580117266889, -0.002727612782152232, 0.0005458478701583485, -0.004361827438958248, 0.003276311719925821, 0.0013166439912206491, 0.0025808774008537387]",0.09741596048465162,0.1
channel_01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_01.step,0.1,10,1.0,"[0.0, 0.04910418746321594, 0.3083630616911125, 0.48809969505295364, 0.5934683501292141, 0.6677628606304694, 0.7467740212801925, 0.7768075848219934, 0.8201913205630504, 0.9294033186758223, 1.0]","[0.004675097324342101, -0.0017417464186184808, -0.0012954029396513114, -0.00030444188724192047, -0.0031052864091571436, -0.0037007849466452842, -0.00024295073774066242, -0.0027309065094911593, 0.001698139946825104, -0.0006284808112766924, 0.0033267819605783747]",0.1093501946486842,0.1
channel_02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_02.step,0.1,10,1.0,"[0.0, 0.1667510143544192, 0.19663677481268235, 0.37015414136375835, 0.5734892611880218, 0.74537843197897, 0.8032883477276639, 0.8667330975365951, 0.909168569845998, 0.9771383363612556, 1.0]","[0.0028692437750213844, 0.0016485085659203218, 0.002051653786263352, 0.0028072903102196794, -0.0004108422446166002, 0.0006874119595289378, -0.0036020300187234264, -0.0038546992646402664, 0.001684029617904717, -0.00028903793856867484, 0.0006523610648118882]",0.10573848755004278,0.1
channel_03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_03.step,0.1,10,1.0,"[0.0, 0.28790821147319234, 0.41419898989328, 0.5171900995638026, 0.5898390839909365, 0.639734677642257, 0.6619775657082467, 0.730242612520942, 0.7815942709309662, 0.877677915432287, 1.0]","[-0.002660605141346593, -0.00441697258310934, -0.002186161079780035, -0.0020640624223331643, 0.001619165147268951, 0.0005703215234127831, 0.0028389820910641357, 0.0016431354032738757, -0.0009361313855992953, 0.003140203846660347, -0.0033302708009229614]",0.09467878971730681,0.1
channel_04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_04.step,0.1,10,1.0,"[0.0, 0.032747542033645306, 0.058669824096580336, 0.2646140187825071, 0.3332087324765073, 0.39503510522170754, 0.5163114363851328, 0.5565965548223072, 0.7843891436777144, 0.9443359444186785, 1.0]","[-0.001984879108521235, 0.0013028259311888852, -0.0013818738944660959, -0.004123500806838991, -0.0038199409787948477, 0.0046189766454951455, 0.004085806907076071, 0.0019970713381074956, -0.0023413003854048046, 0.00469176377347724, 0.0027875090396579467]",0.09603024178295755,0.1
channel_05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_05.step,0.1,10,1.0,"[0.0, 0.1086669450555188, 0.2589172336316262, 0.3252942099374684, 0.37201320956527123, 0.653638253229343, 0.6907516249735401, 0.7336704950160491, 0.7915120495430581, 0.9295222206947091, 1.0]","[0.0035661428409237556, 0.002585195298352101, 0.0021946295595093685, -0.0006790696022489634, 0.0012730884070244319, 0.0008409796891273563, 0.0014984660155482003, -0.00415555678860111, -0.0008419259782939037, -0.004583858261381076, -6.009180755481031e-05]",0.10713228568184752,0.1
channel_06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_06.step,0.1,10,1.0,"[0.0, 0.09695993536446953, 0.14026944996653073, 0.1639002375393683, 0.40007039754346485, 0.48405068742222906, 0.6219108353659988, 0.6698533243061291, 0.8226296609994228, 0.9726236320473386, 1.0]","[0.004585592132414454, -0.0001769656305709976, 0.0028273522725028623, -0.004172700000775615, -0.00013341669161839615, -9.293005645479111e-05, 0.004378264549749829, 0.0007172805237607542, -0.0002651059894304619, -0.002330243369081065, -0.0016843100265744784]",0.10917118426482891,0.1
channel_07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_07.step,0.1,10,1.0,"[0.0, 0.05019510557070429, 0.10938498457471432, 0.1312212059350782, 0.25271370235722257, 0.43316034121279445, 0.49030219931967045, 0.7279321623681381, 0.7586782547155867, 0.9567061216180599, 1.0]","[0.0015942263469190176, 0.0022699461428688263, 0.002686474919176571, -0.003922590540441035, 0.00416011845137608, -0.0026978600910511925, -0.004625874438238203, 0.0005485246939148335, -0.0012907771613756129, 0.003297897431324132, 0.003082514720643019]",0.10318845269383803,0.1
channel_08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_08.step,0.1,10,1.0,"[0.0, 0.09199155275790344, 0.14531989589423377, 0.1939558503341549, 0.41471924263116183, 0.48709294259398944, 0.6331310220418699, 0.6816149191616144, 0.719120566181418, 0.8466195742406195, 1.0]","[0.0039079249087852486, 0.003934466396978633, 0.0001885836038644905, -0.0018407094816920702, 0.002720124321109881, 0.0016166126316776112, -0.0012634227112628994, -0.004055333319384848, 0.0024678961134902604, -0.002375394840771354, 0.004368131505337793]",0.1078158498175705,0.1
channel_09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_09.step,0.1,10,1.0,"[0.0, 0.127448578122613, 0.16187859802945861, 0.2898141787266362, 0.36870353953633006, 0.4005479911406877, 0.4487198960900276, 0.8263120729723404, 0.8877625892937571, 0.9343132871776871, 1.0]","[0.004718264260609674, 7.411862023422831e-06, -0.0035610249744874927, -0.004860637122917986, -0.002703439700011448, -0.0036817778221347906, 0.001776586736128575, -0.0037816749537146893, 6.329931620633038e-05, 0.0019426243564288652, 0.0008111660922090237]",0.10943652852121935,0.1
