case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_00,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_00.step,150,10,1500.0,"[0.0, 227.549855699294, 449.5107066142223, 675.4625847604526, 728.4528200896531, 765.5552386606824, 914.9179573467483, 1060.7721021296857, 1347.4903479425066, 1384.0058213442544, 1500.0]","[-3.8760592730225625, 12.802949665458055, 4.315953602419935, 9.6828483981249, -1.6975740351800663, -8.182838346456693, 1.6375436104750456, -13.08548231687474, 9.828935159777462, 3.949931973661947, 7.742632202561214]",142.24788145395485,0.1
channel_01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_01.step,150,10,1500.0,"[0.0, 73.6562811948239, 462.5445925366688, 732.1495425794305, 890.2025251938212, 1001.6442909457043, 1120.161031920289, 1165.2113772329901, 1230.2869808445757, 1394.1049780137334, 1500.0]","[14.025291973026299, -5.225239255855442, -3.886208818953934, -0.9133256617257626, -9.315859227471428, -11.10235483993585, -0.7288522132219875, -8.192719528473477, 5.094419840475311, -1.8854424338300788, 9.980345881735122]",178.0505839460526,0.1
channel_02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_02.step,150,10,1500.0,"[0.0, 250.12652153162875, 294.95516221902346, 555.2312120456374, 860.2338917820327, 1118.067647968455, 1204.9325215914957, 1300.0996463048925, 1363.752854768997, 1465.7075045418833, 1500.0]","[8.607731325064151, 4.945525697760964, 6.154961358790054, 8.421870930659036, -1.2325267338498023, 2.0622358785868116, -10.806090056170277, -11.564097793920798, 5.0520888537141495, -0.8671138157060234, 1.9570831944356648]",167.2154626501283,0.1
channel_03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_03.step,150,10,1500.0,"[0.0, 431.86231720978856, 621.2984848399201, 775.785149345704, 884.7586259864049, 959.6020164633856, 992.9663485623701, 1095.3639187814128, 1172.3914063964492, 1316.5168731484305, 1500.0]","[-7.981815424039778, -13.25091774932802, -6.558483239340104, -6.1921872669994915, 4.857495441806851, 1.7109645702383496, 8.516946273192406, 4.929406209821625, -2.8083941567978847, 9.420611539981039, -9.990812402768883]",134.03636915192044,0.1
channel_04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_04.step,150,10,1500.0,"[0.0, 49.12131305046795, 88.00473614487049, 396.92102817376065, 499.8130987147608, 592.5526578325612, 774.467154577699, 834.8948322334606, 1176.5837155165716, 1416.5039166280176, 1500.0]","[-5.954637325563704, 3.9084777935666537, -4.1456216833982875, -12.37050242051697, -11.45982293638454, 13.856929936485436, 12.257420721228211, 5.9912140143224875, -7.0239011562144125, 14.075291320431717, 8.362527118973837]",138.09072534887258,0.1
channel_05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_05.step,150,10,1500.0,"[0.0, 163.0004175832782, 388.3758504474394, 487.9413149062027, 558.019814347907, 980.4573798440144, 1036.1274374603101, 1100.5057425240734, 1187.268074314587, 1394.2833310420635, 1500.0]","[10.698428522771266, 7.755585895056303, 6.583888678528105, -2.0372088067468894, 3.8192652210732945, 2.522939067382069, 4.495398046644599, -12.466670365803328, -2.5257779348817113, -13.751574784143227, -0.18027542266443142]",171.39685704554256,0.1
channel_06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_06.step,150,10,1500.0,"[0.0, 145.4399030467043, 210.40417494979613, 245.85035630905247, 600.1055963151973, 726.0760311333437, 932.8662530489983, 1004.7799864591938, 1233.9444914991343, 1458.935448071008, 1500.0]","[13.75677639724336, -0.5308968917129935, 8.482056817508585, -12.518100002326843, -0.40025007485519026, -0.2787901693643722, 13.134793649249485, 2.1518415712822616, -0.7953179682913856, -6.990730107243193, -5.052930079723435]",177.5135527944867,0.1
channel_07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_07.step,150,10,1500.0,"[0.0, 75.29265835605645, 164.07747686207148, 196.83180890261724, 379.0705535358339, 649.7405118191917, 735.4532989795057, 1091.898243552207, 1138.01738207338, 1435.0591824270898, 1500.0]","[4.782679040757053, 6.809838428606479, 8.059424757529712, -11.767771621323103, 12.480355354128239, -8.093580273153576, -13.877623314714606, 1.645574081744499, -3.8723314841268373, 9.893692293972396, 9.247544161929053]",159.5653580815141,0.1
channel_08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_08.step,150,10,1500.0,"[0.0, 137.98732913685518, 217.97984384135066, 290.9337755012324, 622.0788639467428, 730.6394138909842, 949.6965330628049, 1022.4223787424218, 1078.680849272127, 1269.9293613609293, 1500.0]","[11.723774726355746, 11.803399190935895, 0.5657508115934711, -5.522128445076209, 8.160372963329642, 4.849837895032831, -3.7902681337886985, -12.165999958154542, 7.403688340470779, -7.12618452231406, 13.104394516013375]",173.44754945271148,0.1
channel_09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_09.step,150,10,1500.0,"[0.0, 191.17286718391952, 242.81789704418793, 434.7212680899542, 553.055309304495, 600.8219867110314, 673.0798441350413, 1239.4681094585105, 1331.6438839406355, 1401.4699307665308, 1500.0]","[14.15479278182902, 0.022235586070269875, -10.683074923462478, -14.581911368753953, -8.110319100034342, -11.045333466404369, 5.329760208385725, -11.345024861144067, 0.1898979486189898, 5.827873069286593, 2.43349827662707]",178.30958556365806,0.1
