case,geometry_spec,target_geometry_file,A_mm,lam_mm,phase_rad,Lx_mm,Ly_mm,npts,Uin_mps,y_shift_applied_mm
rect_ar01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar01.step,0.0,1.0,0.0,150.0,150.0,2,0.1,0.0
rect_ar02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar02.step,0.0,1.0,0.0,300.0,150.0,2,0.1,0.0
rect_ar03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar03.step,0.0,1.0,0.0,450.0,150.0,2,0.1,0.0
rect_ar04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar04.step,0.0,1.0,0.0,600.0,150.0,2,0.1,0.0
rect_ar05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar05.step,0.0,1.0,0.0,750.0,150.0,2,0.1,0.0
rect_ar06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar06.step,0.0,1.0,0.0,900.0,150.0,2,0.1,0.0
rect_ar07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar07.step,0.0,1.0,0.0,1050.0,150.0,2,0.1,0.0
rect_ar08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar08.step,0.0,1.0,0.0,1200.0,150.0,2,0.1,0.0
rect_ar09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar09.step,0.0,1.0,0.0,1350.0,150.0,2,0.1,0.0
rect_ar10,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar10.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar10.step,0.0,1.0,0.0,1500.0,150.0,2,0.1,0.0
rect_ar11,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar11.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar11.step,0.0,1.0,0.0,1650.0,150.0,2,0.1,0.0
rect_ar12,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar12.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar12.step,0.0,1.0,0.0,1800.0,150.0,2,0.1,0.0
rect_ar13,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar13.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar13.step,0.0,1.0,0.0,1950.0,150.0,2,0.1,0.0
rect_ar14,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar14.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar14.step,0.0,1.0,0.0,2100.0,150.0,2,0.1,0.0
rect_ar15,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar15.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar15.step,0.0,1.0,0.0,2250.0,150.0,2,0.1,0.0
rect_ar16,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar16.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar16.step,0.0,1.0,0.0,2400.0,150.0,2,0.1,0.0
rect_ar17,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar17.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar17.step,0.0,1.0,0.0,2550.0,150.0,2,0.1,0.0
rect_ar18,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar18.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar18.step,0.0,1.0,0.0,2700.0,150.0,2,0.1,0.0
rect_ar19,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar19.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar19.step,0.0,1.0,0.0,2850.0,150.0,2,0.1,0.0
