case,geometry_spec,target_geometry_file,L_mm,delta1_mm,delta2_mm,alpha,beta,left_inlet_len_mm,inlet_velocity_scale_mps,Uin_mps
trapezoid_00,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_00.step,0.2,0.02191648388447707,-0.004889724819835815,2.717195839822765,2.717195839822765,0.1561670322310459,0.12806800330565557,0.12806800330565557
trapezoid_01,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_01.step,0.2,0.015789442324749117,-0.03246581216898804,2.951244703273512,2.951244703273512,0.16842111535050178,0.11874995577827596,0.11874995577827596
trapezoid_02,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_02.step,0.2,0.02089117615922824,0.022885144422156306,1.2562272653510917,1.2562272653510917,0.15821764768154353,0.1264081491102402,0.1264081491102402
trapezoid_03,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_03.step,0.2,-0.00396912496835463,-0.010336158061393503,2.8535299776972036,2.8535299776972036,0.20793824993670929,0.09618240033321168,0.09618240033321168
trapezoid_04,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_04.step,0.2,0.011509209606453165,0.0258209290616664,1.8868283976546623,1.8868283976546623,0.1769815807870937,0.11300611007684305,0.11300611007684305
trapezoid_05,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_05.step,0.2,-0.021820902257217854,0.004366782961266788,1.1276345122083506,1.1276345122083506,0.24364180451443573,0.08208771905896389,0.08208771905896389
trapezoid_06,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_06.step,0.2,0.026210493759406567,0.010533151929765193,2.5161754801707477,2.5161754801707477,0.14757901248118688,0.13552062494353367,0.13552062494353367
trapezoid_07,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_07.step,0.2,-0.011637922549610533,0.03765584195159227,2.7862422426443954,2.7862422426443954,0.22327584509922108,0.0895752963833246,0.0895752963833246
trapezoid_08,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_08.step,0.2,0.022270679765900955,-0.0244289033718426,1.9334420074540684,1.9334420074540684,0.1554586404681981,0.12865158179542532,0.12865158179542532
trapezoid_09,/home/hantianl/Documents/PIDIF/2d_geometry_specs/trapezoid/trapezoid_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/trapezoid/trapezoid_09.step,0.2,-0.03649569873702171,-0.02765684063459618,2.3660979064849093,2.3660979064849093,0.27299139747404344,0.07326238183714796,0.07326238183714796
