2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 13:32:16 - transient_deeponet - INFO - Epoch 0001 | data loss=6.158e-01 | bc loss=0.000e+00 | valid MSE=2.824e+04 | valid rel L2=3.964e-01 | pressure=2.356e-01, u=2.368e-01, v=9.949e-01 | Time: 0:00:15.119200
2026-07-24 13:34:24 - transient_deeponet - INFO - Epoch 0010 | data loss=4.715e-01 | bc loss=0.000e+00 | valid MSE=8.255e+03 | valid rel L2=3.742e-01 | pressure=1.274e-01, u=2.043e-01, v=9.192e-01 | Time: 0:02:23.888733
2026-07-24 13:37:05 - transient_deeponet - INFO - Epoch 0020 | data loss=2.554e-01 | bc loss=0.000e+00 | valid MSE=8.321e+03 | valid rel L2=3.614e-01 | pressure=1.279e-01, u=1.649e-01, v=8.060e-01 | Time: 0:05:03.957865
2026-07-24 13:39:26 - transient_deeponet - INFO - Epoch 0030 | data loss=1.470e-01 | bc loss=0.000e+00 | valid MSE=5.244e+03 | valid rel L2=4.090e-01 | pressure=1.015e-01, u=9.839e-02, v=4.598e-01 | Time: 0:07:25.249567
2026-07-24 13:41:56 - transient_deeponet - INFO - Epoch 0040 | data loss=1.255e-01 | bc loss=0.000e+00 | valid MSE=2.906e+03 | valid rel L2=1.489e-01 | pressure=7.558e-02, u=9.309e-02, v=3.588e-01 | Time: 0:09:55.450551
2026-07-24 13:44:15 - transient_deeponet - INFO - Epoch 0050 | data loss=7.267e-02 | bc loss=0.000e+00 | valid MSE=2.613e+03 | valid rel L2=1.638e-01 | pressure=7.168e-02, u=7.147e-02, v=3.129e-01 | Time: 0:12:14.538685
2026-07-24 13:46:33 - transient_deeponet - INFO - Epoch 0060 | data loss=6.704e-02 | bc loss=0.000e+00 | valid MSE=2.686e+03 | valid rel L2=2.902e-01 | pressure=7.267e-02, u=7.639e-02, v=2.906e-01 | Time: 0:14:32.216818
2026-07-24 13:49:02 - transient_deeponet - INFO - Epoch 0070 | data loss=7.383e-02 | bc loss=0.000e+00 | valid MSE=3.130e+03 | valid rel L2=1.724e-01 | pressure=7.844e-02, u=6.986e-02, v=2.868e-01 | Time: 0:17:01.421579
2026-07-24 13:51:20 - transient_deeponet - INFO - Epoch 0080 | data loss=5.865e-02 | bc loss=0.000e+00 | valid MSE=1.734e+03 | valid rel L2=1.805e-01 | pressure=5.838e-02, u=6.359e-02, v=2.832e-01 | Time: 0:19:19.849644
2026-07-24 13:53:47 - transient_deeponet - INFO - Epoch 0090 | data loss=5.450e-02 | bc loss=0.000e+00 | valid MSE=1.460e+03 | valid rel L2=1.273e-01 | pressure=5.357e-02, u=5.537e-02, v=2.561e-01 | Time: 0:21:46.725634
2026-07-24 13:56:09 - transient_deeponet - INFO - Epoch 0100 | data loss=5.000e-02 | bc loss=0.000e+00 | valid MSE=2.937e+03 | valid rel L2=3.185e-01 | pressure=7.598e-02, u=6.085e-02, v=2.583e-01 | Time: 0:24:08.637423
