channel,channel_id,p_in_ref,p_min,p_max,u_min,u_max,v_min,v_max,valid_cell_centers,n_cells,lower_wall_zone,upper_wall_zone,inlet_zone,outlet_zone
channel_00,0,1481.3745213949123,-28.98674811104868,4550.192680640079,0.005888105075247893,1.5107242059844355,-0.30664062347351295,0.30673783623293516,233114,233114,1,3,4,2
channel_01,1,1550.8933606831313,-29.227483862428677,5048.246921568633,0.008203415048419246,1.5402773344950114,-0.3333632105057308,0.3351347130664932,231432,231432,1,3,4,2
channel_02,2,1542.993391865631,-33.212259677185834,5462.694307591638,0.007824179295736514,1.5389667037124255,-0.32580398102685154,0.3436862663248389,232542,232542,1,3,4,2
channel_03,3,1415.9545093914455,-33.05469678888328,4485.259773447933,0.008426386613417663,1.513032377506591,-0.2802475063505414,0.27725102470098595,237274,237274,1,3,4,2
channel_04,4,1381.483174412277,-28.762650136391393,4100.3280673918025,0.011844849947634697,1.470762574121512,-0.2529783662467332,0.2562261323692546,239084,239084,1,3,4,2
channel_05,5,1533.7999593375262,-25.184237449136077,4317.459359630689,0.011231615979246715,1.5521597492060273,-0.27635284052236114,0.27359808180753414,233020,233020,1,3,4,2
channel_06,6,1523.4041407469788,-10.520996212911601,4528.006839786387,0.006224361097742432,1.558683687031952,-0.2831660448681948,0.2987470667214081,235818,235818,1,3,4,2
channel_07,7,1592.1437911898686,-22.994665828440045,4616.505122965524,0.011086703251720358,1.576027541043591,-0.2858397215771624,0.28454189669882424,230488,230488,1,3,4,2
channel_08,8,1614.7364442138878,-31.37398599523466,4403.7841581180755,0.011189654115625584,1.5753470849880737,-0.24948948629515813,0.26150016788467667,226750,226750,1,3,4,2
channel_09,9,1575.837490837235,-27.77206775288371,4670.10264487631,0.005406245704736405,1.5761000614119325,-0.29378607126300627,0.2952081398463962,229742,229742,1,3,4,2
channel_10,10,1565.0100868693405,-25.25396040460501,4841.070858479809,0.009400954443306297,1.538415178424036,-0.3105626638536533,0.2999746962162933,231234,231234,1,3,4,2
channel_11,11,1557.9638461124637,-24.89382137013986,4840.247424021125,0.007904603112521093,1.5125876730716004,-0.31075396133257677,0.3132279210595075,230324,230324,1,3,4,2
channel_12,12,1648.462270690374,-27.006505460695216,4493.992404985811,0.010173980601709065,1.5705237305940403,-0.27001773414880115,0.268538311227562,226660,226660,1,3,4,2
channel_13,13,1458.9416718239163,-26.447924223599184,4374.615570886504,0.009060532459153706,1.5146235245597315,-0.29059965257894027,0.2892457515130464,236778,236778,1,3,4,2
channel_14,14,1524.026128612195,-26.530419147490694,4100.084695390941,0.0024285139276934336,1.5402460733209942,-0.23319813983939333,0.23890665042217624,233642,233642,1,3,4,2
channel_15,15,1427.6958686387832,-30.44692878068075,4498.6907900852175,0.008434553367347213,1.5083382824971214,-0.2838294648833036,0.29236608470559367,236388,236388,1,3,4,2
channel_16,16,1431.2470982489237,-30.030108875571035,4961.309593772051,0.010016883346024932,1.536147864886796,-0.3311342085477663,0.32900692746529603,237170,237170,1,3,4,2
channel_17,17,1522.2089079444795,-33.204401980894595,4614.863094498784,0.0041260758907607446,1.5873543904413798,-0.2900155964715469,0.2941128621344226,233502,233502,1,3,4,2
channel_18,18,1375.3236607714957,-33.972761053764835,3840.290767416654,0.011557427979111932,1.5212636988604662,-0.2303581771234532,0.2343537509680053,240746,240746,1,3,4,2
channel_19,19,1558.7463028421894,-26.651757181104166,4388.987165144839,0.004490201215716442,1.5952263867551206,-0.26893515556222947,0.26762953672058626,230190,230190,1,3,4,2
channel_20,20,1559.25256182902,-26.120512698532472,4776.316253258498,0.008351389932901677,1.5417487371705856,-0.2989221746107429,0.3082602601934798,230220,230220,1,3,4,2
channel_21,21,1595.8898959046644,-11.79668995880033,4421.662412243012,0.0065382336146919285,1.5453019954384593,-0.28271489736960337,0.28218024788390506,230458,230458,1,3,4,2
channel_22,22,1616.8291055096709,-25.918721017613382,4643.609073503655,0.010517851458812896,1.5611680079322248,-0.2803754931321162,0.2802320277745455,226940,226940,1,3,4,2
channel_23,23,1675.0701969290367,-15.857513772719855,4807.152169880405,0.0031805274788078487,1.6213723211299849,-0.29780135319025774,0.2972499957608634,228410,228410,1,3,4,2
channel_24,24,1618.4336455007278,-26.520325010034906,4349.7923524759235,0.00916519273076946,1.6026545507471162,-0.2513096370393731,0.25374986181084214,228680,228680,1,3,4,2
channel_25,25,1542.588493841524,-33.74078384703189,4724.4818293278495,0.009748817496932247,1.5920739811765772,-0.3020424662117438,0.303681205099678,230652,230652,1,3,4,2
channel_26,26,1616.4618846742048,-26.274564812440698,5083.136828963019,0.0075709508220311444,1.5632023684864638,-0.30994551401614673,0.32833159635062836,227228,227228,1,3,4,2
