epoch,train_loss_masked,val_loss_nomask,val_loss_noisy,val_loss_maskboth,val_score,lr,mode_count_noisy_interface,mode_count_mask_both_interfaces,mode_count_mask_right_interface,mode_count_no_mask,mode_count_mask_left_interface
1,0.23347413135692477,0.08211099654436112,0.08199108690023423,0.2461827164888382,0.1312965396344662,4.999561366949691e-05,245,294,350,398,313
2,0.12497214058414102,0.07105838537216186,0.07121216520667076,0.21499983936548234,0.11428695552051067,4.9982456601977165e-05,226,329,328,386,331
3,0.11175548953004182,0.06120800778269768,0.061243419870734214,0.1892634078860283,0.09963525144010782,4.996053456856543e-05,247,337,304,403,309
4,0.10382337615825236,0.054102127477526664,0.05465949110686779,0.18380094319581985,0.09317898128181695,4.9929857184990085e-05,239,343,324,387,307
5,0.09558577001094819,0.04890276815742254,0.04952947624027729,0.17393996194005013,0.08660193871706724,4.9890437907365465e-05,248,301,338,398,315
6,0.08814538879320026,0.046060644872486595,0.04614732604473829,0.17146705329418183,0.08370857175067067,4.984229402628956e-05,246,318,314,432,290
7,0.0850987016921863,0.042155065163969996,0.04259442284703255,0.1667920544743538,0.0796779692620039,4.978544665925976e-05,245,320,298,414,323
8,0.08090645352844149,0.04214211646467447,0.04278460960835218,0.16458524644374847,0.07906780340149999,4.971992074141009e-05,284,296,290,402,328
9,0.08175180566962809,0.039607634507119654,0.039501746967434886,0.16234628811478616,0.07639746432751418,4.9645745014573765e-05,223,326,301,408,342
10,0.08120402129366994,0.04004785250872374,0.039914395324885846,0.1751810082793236,0.08054776208475233,4.95629520146761e-05,237,320,330,400,313
11,0.07829795839730651,0.03823798310011625,0.0394637518003583,0.15929393693804741,0.07492249986156821,4.947157805746319e-05,244,328,306,410,312
12,0.07656002613715827,0.03400719944387674,0.034704966321587566,0.154538434445858,0.07037590000778436,4.937166322257261e-05,225,318,314,403,340
13,0.07435186660848558,0.037050443701446056,0.037573530711233614,0.1542772249877453,0.0723754041902721,4.9263251335953154e-05,257,316,315,390,322
14,0.07517848096322269,0.036790001355111596,0.03575895987451076,0.15479837074875832,0.07188319972902536,4.914638995064133e-05,232,334,316,383,335
15,0.07307601701002568,0.036356840506196024,0.03781465694308281,0.1542978496849537,0.07217648819088936,4.902113032590306e-05,245,323,289,383,360
16,0.06817758081480861,0.030494931247085334,0.03149632580578327,0.15437160983681678,0.06795835319161414,4.8887527404749615e-05,239,283,318,426,334
17,0.07160665743052959,0.032461427450180054,0.03256308645009995,0.15273983538150787,0.06857544752955436,4.874563978983782e-05,237,311,347,417,288
18,0.06687378003261983,0.03371448878198862,0.033982387483119963,0.15218082278966905,0.06933475859463215,4.859552971776502e-05,234,270,322,448,326
