iter,continuity,x-velocity,y-velocity
1,1.0,0.0003096761243891561,1.786622545126023e-05
2,0.6779453330216532,0.0001880034357100665,8.46659537146941e-06
3,0.4594257391116686,0.000114588130033475,4.466891115295867e-06
4,0.2701816988795309,7.477748691676292e-05,2.606099676790618e-06
5,0.1468919295382632,5.034890537945234e-05,1.618767615737459e-06
6,0.09528514574659618,3.460912390357086e-05,1.071424959140307e-06
7,0.08601669556549668,2.476893454427727e-05,7.433740642828194e-07
8,0.08142657681825306,1.867883056565499e-05,5.50452053697994e-07
9,0.07148491954483957,1.490163229565857e-05,4.304729671360593e-07
10,0.05842059965805175,1.243884253562437e-05,3.708899934231862e-07
11,0.04811545565527261,1.081050173520707e-05,3.373085154207472e-07
12,0.03981192511373972,9.622357482334808e-06,3.097904933100121e-07
13,0.03232231036037544,8.70383064369969e-06,2.78840874629973e-07
14,0.02715328912877205,7.990967397092256e-06,2.52549812293469e-07
15,0.02268652460135819,7.403520856591822e-06,2.268812502616849e-07
16,0.01905120531196592,6.899671417494066e-06,2.057474465762865e-07
17,0.01617969421265998,6.462121491561319e-06,1.876908280755746e-07
18,0.01377736855742138,6.069992424012989e-06,1.731464177194692e-07
19,0.01198700312912505,5.718217256018785e-06,1.60453116387763e-07
20,0.01068318630999758,5.398365807235339e-06,1.494748318246175e-07
21,0.00963899084350229,5.105207752319475e-06,1.398135331325611e-07
22,0.008770254638513313,4.83528890738763e-06,1.309087073902393e-07
23,0.008044343516953458,4.586302930459936e-06,1.224157474969447e-07
24,0.007433837359036737,4.355934967433773e-06,1.148563940476523e-07
25,0.006978632240835918,4.141093803372903e-06,1.085208085034638e-07
26,0.006596053484510288,3.939912249506455e-06,1.031758653099423e-07
27,0.006291907567669983,3.75212909141837e-06,9.85714896915358e-08
28,0.006053941021062308,3.575255215139977e-06,9.452545701534212e-08
29,0.005825691502207241,3.408495219117124e-06,9.082318058569257e-08
30,0.005595073085452268,3.252027776117023e-06,8.719907904955379e-08
31,0.005348816201832023,3.104500231711925e-06,8.36746441969118e-08
32,0.005105140033259194,2.965025485894993e-06,8.019170483681599e-08
33,0.004854809368806802,2.833233540782854e-06,7.686974197970906e-08
34,0.004599906511695299,2.708591139586376e-06,7.37557864608301e-08
35,0.00439149529543874,2.590236303959624e-06,7.088850325596247e-08
36,0.00419555868661311,2.477941021427005e-06,6.825682405005234e-08
37,0.004026962159762961,2.371054272225169e-06,6.578449888848036e-08
38,0.003871686063451502,2.269236516219048e-06,6.347187087180684e-08
39,0.003727454091573717,2.172505354320992e-06,6.124816543662048e-08
40,0.00358314905182394,2.080220923990926e-06,5.904794978177343e-08
41,0.003464680096828096,1.992175684416479e-06,5.692855005724612e-08
42,0.003365049121660234,1.908397055202164e-06,5.492426490494739e-08
43,0.003253022122231895,1.828304639933907e-06,5.297315769408939e-08
44,0.003149695437296188,1.751854569951767e-06,5.113535543730457e-08
45,0.003050912533996493,1.678799409459221e-06,4.939981170413991e-08
46,0.002952588634965107,1.60903642800343e-06,4.774984552059251e-08
47,0.002847536162811067,1.542451456818908e-06,4.61614871348682e-08
48,0.002754853449864569,1.478438627104777e-06,4.459814523286428e-08
49,0.002665094071093285,1.417456751641088e-06,4.311497149460101e-08
50,0.002577494874993389,1.359063308698004e-06,4.166753840676675e-08
51,0.002490038952370858,1.303112414833155e-06,4.025395325971542e-08
52,0.00239949012044661,1.249549901684063e-06,3.88802918766708e-08
53,0.002313097281838644,1.198154095905262e-06,3.755689104122539e-08
54,0.002236411856670811,1.148768198373799e-06,3.628654560019624e-08
55,0.002166219235592446,1.101512860135499e-06,3.507136929353048e-08
56,0.002093523590430866,1.056398213106437e-06,3.390206323374159e-08
57,0.002021503450080771,1.01304974588564e-06,3.275999031516855e-08
58,0.00195296106305375,9.714617813633097e-07,3.166047819343167e-08
59,0.001889835332598625,9.31624063582256e-07,3.060247404025198e-08
60,0.001828670079023269,8.934538317263126e-07,2.957704006231356e-08
61,0.001767504047507321,8.569169108511866e-07,2.858751466993206e-08
62,0.001705902790497744,8.218848738317189e-07,2.763154182525139e-08
63,0.001646286572591265,7.882691096341319e-07,2.670440531059834e-08
64,0.001587779591750494,7.560626407910654e-07,2.580665653753713e-08
65,0.001522482477691506,7.25289197651936e-07,2.493833233902792e-08
66,0.001457984131909181,6.95662717002296e-07,2.408358269816011e-08
67,0.001397431014725774,6.671818746730521e-07,2.324909715107049e-08
68,0.001340216884778109,6.398265186711853e-07,2.244073599182956e-08
69,0.001288803988704937,6.134797938104428e-07,2.165973000849174e-08
70,0.001239873809847148,5.882780331282402e-07,2.091020821816607e-08
71,0.001194722974502698,5.641309004556673e-07,2.018201655332524e-08
72,0.001150672378559181,5.409868060339659e-07,1.947590156196983e-08
73,0.001106738737221789,5.187995814473596e-07,1.879225365797094e-08
74,0.001066816568248209,4.975279455260791e-07,1.81291744281778e-08
75,0.001024777445334909,4.771671886382079e-07,1.748391259851384e-08
76,0.0009841613646070363,4.57614007526068e-07,1.685786643146028e-08
77,0.0009503294257225546,4.387585417541169e-07,1.625144604566855e-08
78,0.000915471582525062,4.20753614016908e-07,1.566681522377918e-08
79,0.0008809542073864144,4.035027716394602e-07,1.509417621902705e-08
80,0.0008460318807249932,3.869317874072258e-07,1.453807570847363e-08
81,0.0008148391462484496,3.710270392770203e-07,1.40013290015448e-08
82,0.0007838717805118813,3.5579010484151e-07,1.348781490881395e-08
83,0.0007527540565138601,3.411326972279479e-07,1.29820821047597e-08
84,0.0007256067125876936,3.270410886952561e-07,1.249336732298576e-08
85,0.0006971649195039733,3.135376186989571e-07,1.20275556690944e-08
86,0.0006694879212841836,3.005902274707285e-07,1.158149128983867e-08
87,0.0006456751353104983,2.881746358943207e-07,1.114831816668089e-08
88,0.0006206228431839912,2.762687642057743e-07,1.072933070393578e-08
89,0.0005986190053142296,2.648506783145975e-07,1.032410281352419e-08
90,0.0005752001391314174,2.538963190506571e-07,9.93249074388154e-09
91,0.0005540842812948735,2.433697724363923e-07,9.554191279846744e-09
92,0.0005334783569219215,2.332749942199697e-07,9.190120655998288e-09
93,0.0005121013652718404,2.2358983244211e-07,8.840406412415447e-09
94,0.0004922892687205559,2.143016539699997e-07,8.50251354996062e-09
95,0.0004743186520293992,2.053961028158969e-07,8.17542706434581e-09
96,0.0004559877752709545,1.968564091270377e-07,7.862016381304e-09
97,0.0004379165795408061,1.886604533589041e-07,7.559696474374023e-09
98,0.0004214923575298759,1.807971308925156e-07,7.269065569898285e-09
99,0.0004052249478791105,1.732533753110536e-07,6.988873528698582e-09
100,0.0003892816673580235,1.660146562881899e-07,6.718168332525159e-09
101,0.0003733820197814237,1.590671746791926e-07,6.457069208510659e-09
102,0.0003584503776408905,1.524024916462238e-07,6.205159994304168e-09
103,0.0003436131798205106,1.460117123287638e-07,5.962047623993027e-09
104,0.0003301880701274122,1.398810087496344e-07,5.727772573141429e-09
105,0.0003165716588806541,1.339997149416036e-07,5.501516945701291e-09
106,0.0003029187581766269,1.283562856956545e-07,5.283363820742641e-09
107,0.0002903461628080913,1.22943856313875e-07,5.072847873110857e-09
108,0.0002784834930024774,1.177530792333758e-07,4.870303521629848e-09
109,0.0002668327772034578,1.127749401467928e-07,4.674753288760935e-09
110,0.000255319250121889,1.080007504969021e-07,4.486203187345737e-09
111,0.000244877026055672,1.034237142855662e-07,4.303723289271838e-09
112,0.0002346908673208361,9.903446329135415e-08,4.127220685324107e-09
113,0.0002250563562742664,9.482446251441257e-08,3.957197869802103e-09
114,0.0002157424816475734,9.078605103637967e-08,3.793751961697075e-09
115,0.0002067617426629046,8.691248099243887e-08,3.636291975177496e-09
116,0.0001982390056085719,8.319750138636645e-08,3.484477631717046e-09
117,0.0001904076235373397,7.96350016949241e-08,3.338440861158216e-09
118,0.000182990921202693,7.62190575073865e-08,3.197888484855379e-09
119,0.0001758449148224166,7.294391368697215e-08,3.062744220926654e-09
120,0.0001689751788537371,6.980399355893816e-08,2.932997759990565e-09
121,0.0001622565538171029,6.679381891007546e-08,2.808391402093934e-09
122,0.0001557752454243653,6.390812098769946e-08,2.688852504959076e-09
123,0.0001496276171576496,6.113776169218141e-08,2.573986595973982e-09
124,0.0001438138651177943,5.848461569798465e-08,2.463618006749367e-09
125,0.0001382738994453599,5.594294374893275e-08,2.357375530786934e-09
126,0.0001328583506609382,5.35078114593907e-08,2.255057690398427e-09
127,0.0001275515672166534,5.117413328978596e-08,2.156386806479453e-09
128,0.000122515615442012,4.893743986115154e-08,2.061532619515707e-09
129,0.0001178275776231732,4.679321091018784e-08,1.970482861572284e-09
130,0.0001133412332774316,4.473814629480037e-08,1.883057398404389e-09
131,0.0001090550771376357,4.276861093002819e-08,1.799280612844697e-09
132,0.0001049280067492123,4.088111310262486e-08,1.718904218827272e-09
133,0.0001008509498964509,3.907234125367894e-08,1.641848336878471e-09
134,9.692230195997098e-05,3.733913481920941e-08,1.568057984947195e-09
135,9.311244503608474e-05,3.567853516236171e-08,1.497306450537305e-09
136,8.93710880884006e-05,3.408755509892081e-08,1.429397579850817e-09
137,8.576479273092087e-05,3.256342077896758e-08,1.36444269558313e-09
138,8.218248457865856e-05,3.110346876294924e-08,1.302322356993633e-09
139,7.863408547159258e-05,2.97051211093442e-08,1.242638474116609e-09
140,7.514896053514184e-05,2.836590066742626e-08,1.18531009702018e-09
141,7.178824541462684e-05,2.708341438201876e-08,1.130462466088851e-09
142,6.849345320357285e-05,2.58553593606736e-08,1.078037236247432e-09
143,6.540557852369225e-05,2.467952230991921e-08,1.027932469723773e-09
144,6.24654260921669e-05,2.355377311034607e-08,9.801631781736983e-10
145,5.963400883131138e-05,2.247606851522261e-08,9.346598328523942e-10
146,5.696919221610768e-05,2.144444946070506e-08,8.913320157936281e-10
147,5.44248188517644e-05,2.045702692497992e-08,8.502087157697581e-10
148,5.20037821683249e-05,1.95119890772369e-08,8.111705670470075e-10
149,4.97131546331347e-05,1.860759902478791e-08,7.741461198310277e-10
150,4.751781182558835e-05,1.7742190723628e-08,7.391270672847255e-10
151,4.542345254260861e-05,1.691416458815283e-08,7.059876908582772e-10
152,4.342537371859905e-05,1.612198809988874e-08,6.745754467868458e-10
153,4.151281820853278e-05,1.536419580614168e-08,6.447799438384281e-10
154,3.969756102912102e-05,1.463937879057418e-08,6.163581564468476e-10
155,3.795453856370538e-05,1.39461821992952e-08,5.892021527303901e-10
156,3.62565759107804e-05,1.328454211545594e-08,5.632550577787353e-10
157,3.464250937121215e-05,1.265100191056441e-08,5.384598877464199e-10
158,3.313667908013286e-05,1.204469901846646e-08,5.147814908984814e-10
159,3.172578693623907e-05,1.146481647548375e-08,4.922127001711778e-10
160,3.040606994794763e-05,1.091049682497275e-08,4.707380535548522e-10
161,2.915827488376412e-05,1.038083101448858e-08,4.503147004034486e-10
162,2.796537227061003e-05,9.874870452287004e-09,4.308839015913133e-10
163,2.682960612817568e-05,9.391642735135536e-09,4.123741954383255e-10
