iter,continuity,x-velocity,y-velocity,energy
1,1.0,0.003020780929059708,0.00148068068556742,0.0005398186968678195
2,0.7330587213982844,0.001585831135138877,0.0007050397295363976,0.0002221521002403724
3,0.6925003386303041,0.0008637916374022753,0.0003557821818667776,0.0001245718112993654
4,0.5988746271611051,0.0004983698840777638,0.0001869146597378422,9.09983800929771e-05
5,0.4739525728241927,0.000305822993257409,9.99994396506729e-05,6.864054458674645e-05
6,0.3508159923798884,0.0001973518034865594,5.529728082428715e-05,5.611858923003958e-05
7,0.2729435139633044,0.0001317941234932126,3.252862889542438e-05,4.485363085782337e-05
8,0.21805750525002,8.968821577958192e-05,2.144268681292227e-05,3.460163711642775e-05
9,0.1684465127245032,6.195018957251624e-05,1.502486624397142e-05,2.556745755212928e-05
10,0.1254538963250093,4.3859766845245e-05,1.075238051312947e-05,1.807347939947788e-05
11,0.09212627110166022,3.243178982351252e-05,7.720013729907408e-06,1.225111551753304e-05
12,0.06831237849857526,2.486336850425709e-05,5.62435163756416e-06,8.01230773134615e-06
13,0.05169348070906468,1.923476434147878e-05,4.177122280634066e-06,5.092574421419123e-06
14,0.03945738261918517,1.492860346773533e-05,3.147004822426953e-06,3.175013410292646e-06
15,0.03051632058212449,1.169917871695867e-05,2.417787456540098e-06,1.951015532989302e-06
16,0.0239015432198052,9.071233374576962e-06,1.867066321816909e-06,1.191669002908903e-06
17,0.01896350641619556,6.926563314699272e-06,1.446921519068587e-06,7.226268011963023e-07
18,0.01494845056500213,5.264117811477575e-06,1.123933948430516e-06,4.383621081031167e-07
19,0.01171751637703272,4.012931091201589e-06,8.721115443429528e-07,2.744653172522765e-07
20,0.009138475868646733,3.074085041253673e-06,6.820375949017792e-07,1.810338214966574e-07
21,0.007038268559949577,2.351094623869186e-06,5.268068845904464e-07,1.252774741516566e-07
22,0.005385575261682087,1.803815320285164e-06,4.028516552209879e-07,9.12308207746013e-08
23,0.004099055393792794,1.394199653062724e-06,3.055531565435301e-07,7.018078385188723e-08
24,0.003181853316009293,1.065307009748201e-06,2.340819619962891e-07,5.539028152126309e-08
25,0.002547220400653801,8.048304541138177e-07,1.842687708929809e-07,4.417534722690256e-08
26,0.002025644182388886,6.057673370553978e-07,1.463067163583382e-07,3.447199360768515e-08
27,0.001571156758487576,4.552992486539043e-07,1.157053013336718e-07,2.631209700273967e-08
28,0.001199457270438459,3.407654510512467e-07,8.991463615717972e-08,2.003379329322848e-08
29,0.0009165517848595063,2.55951448312874e-07,6.912573802702814e-08,1.503583021706967e-08
30,0.0006951543721057954,1.927995271101134e-07,5.218917021153148e-08,1.095199169810585e-08
31,0.000521197226898818,1.473061087338193e-07,3.855286102788254e-08,7.825936602018334e-09
32,0.0003968301184559581,1.110249539959898e-07,2.86033320391501e-08,5.678702728797789e-09
33,0.0003121331571947313,8.259299829090675e-08,2.184942817891297e-08,4.28883764026784e-09
34,0.0002468647752871428,6.063101577999058e-08,1.708008232148919e-08,3.245844144069714e-09
35,0.0001905491949324547,4.463891132771589e-08,1.330842582202644e-08,2.39552533807632e-09
36,0.0001440371269213158,3.273489099646765e-08,1.026147715147302e-08,1.796712278697386e-09
37,0.000108519050321959,2.408631265490917e-08,7.77228187751982e-09,1.320295133702122e-09
38,8.162371576552908e-05,1.778437003078516e-08,5.811226710231446e-09,9.436378816184288e-10
39,6.065393282794028e-05,1.347314148157277e-08,4.212937713278765e-09,6.584366073788367e-10
40,4.508177062964672e-05,1.011342985333065e-08,3.038330665441495e-09,4.541791410849451e-10
41,3.462520850920696e-05,7.420440216761168e-09,2.244035666036059e-09,3.141506139463808e-10
42,2.700646915868866e-05,5.321151664925381e-09,1.706000995379737e-09,2.244550640563497e-10
43,2.076603414752774e-05,3.826816507020079e-09,1.301639287033547e-09,1.593238404511295e-10
44,1.54817317799184e-05,2.75908860987216e-09,9.824809382791313e-10,1.151468348750374e-10
45,1.145742824456623e-05,1.988521946144141e-09,7.371809306121807e-10,9.034206517801657e-11
46,8.583632689175674e-06,1.453118967333138e-09,5.514749810551544e-10,7.013173618995532e-11
47,6.35140848139447e-06,1.076190967304196e-09,4.093801500309651e-10,5.50554722827002e-11
48,4.623253862430045e-06,8.43107445076822e-10,2.987505603482127e-10,4.10417732893794e-11
49,3.435620172148754e-06,6.373788928824795e-10,2.248683064832321e-10,2.922133859685617e-11
50,2.656715507672064e-06,4.633764994442059e-10,1.708497806536393e-10,1.937294670426819e-11
51,2.061540812892553e-06,3.30909925431188e-10,1.293058203083148e-10,1.248982014202641e-11
52,1.545121498101431e-06,2.437645005045846e-10,9.467783439915516e-11,8.724106042171784e-12
53,1.140085059191892e-06,1.769568950046901e-10,6.991374462072083e-11,7.920471959299413e-12
54,8.568939286769353e-07,1.301819069515559e-10,5.287248083362461e-11,8.51969651397446e-12
55,6.448755857376653e-07,9.982255292347701e-11,4.172094813836907e-11,8.556473184599216e-12
56,4.707533059060566e-07,8.347565575856065e-11,3.320149129355636e-11,7.357932710565395e-12
57,3.381694328172091e-07,6.882016260574269e-11,2.646204809765225e-11,5.595941456772117e-12
58,2.530301800872164e-07,5.42411108893067e-11,2.104585484033989e-11,3.944980017115176e-12
59,2.060572514266359e-07,4.075058589198025e-11,1.614832561738641e-11,2.581731530499877e-12
60,1.624721730348446e-07,3.088850777443114e-11,1.178310781187495e-11,1.695957486457346e-12
61,1.22175459488085e-07,2.257633115867845e-11,8.336091614195954e-12,1.24522409135966e-12
62,9.411141623943437e-08,1.616158728851108e-11,6.191729169785375e-12,1.129006840823324e-12
63,7.298022472892905e-08,1.211413991791726e-11,4.789051802195867e-12,1.102476838123874e-12
64,5.473460757644583e-08,1.002796925329774e-11,3.837570795235018e-12,9.778066081791798e-13
65,3.947827722915546e-08,8.69695861812378e-12,3.048569093620232e-12,7.598309029913568e-13
66,2.899994143235446e-08,6.938547308179167e-12,2.4390968515616e-12,5.418987087361016e-13
67,2.277500061024559e-08,5.285250006408249e-12,1.892826626733692e-12,3.667455900413648e-13
68,1.853282710726992e-08,3.986534036784288e-12,1.390834278957512e-12,2.411956487840484e-13
69,1.448062689660236e-08,2.944929833695571e-12,9.72212111704036e-13,1.538543809192029e-13
70,1.150423061659761e-08,2.113280647202405e-12,7.32210929418531e-13,1.138721099840095e-13
71,9.156572255253896e-09,1.505601633001834e-12,5.859111504261549e-13,1.069574902025066e-13
