case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_18,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_18.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_18.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_18/channel_18.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_18/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_18/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_18/pout.txt,1.0,1496.2805,0.0,1496.2805,1.0,1.000339,199.0428713858425,laminar,0.0003036000000000965,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,223.65638375282288
channel_19,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_19.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_19.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_19/channel_19.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_19/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_19/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_19/pout.txt,1.0,1699.6076,0.0,1699.6076,1.0,1.0003402,199.0428713858425,laminar,0.0003143000000001674,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,215.81149649620056
channel_20,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_20.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_20.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_20/channel_20.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_20/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_20/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_20/pout.txt,1.0,1721.7632,0.0,1721.7632,1.0,1.0003538,199.0428713858425,laminar,0.00027629999999994855,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,216.13067817687988
channel_21,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_21.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_21.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_21/channel_21.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_21/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_21/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_21/pout.txt,1.0,1745.0702,0.0,1745.0702,1.0,1.0003173,199.0428713858425,laminar,0.00013329999999983828,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,216.26156330108643
channel_22,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_22.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_22.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_22/channel_22.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_22/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_22/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_22/pout.txt,1.0,1764.76,0.0,1764.76,1.0,1.0004027,199.0428713858425,laminar,0.0002869999999998839,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,223.40743947029114
channel_23,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_23.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_23.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_23/channel_23.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_23/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_23/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_23/pout.txt,1.0,1831.6317,0.0,1831.6317,1.0,1.0003283,199.0428713858425,laminar,9.679999999985989e-05,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,219.80275797843933
channel_24,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_24.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_24.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_24/channel_24.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_24/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_24/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_24/pout.txt,1.0,1749.4738,0.0,1749.4738,1.0,1.0005608,199.0428713858425,laminar,0.0003415000000000373,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,217.64806842803955
channel_25,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_25.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_25.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_25/channel_25.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_25/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_25/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_25/pout.txt,1.0,1702.3662,0.0,1702.3662,1.0,1.0004386,199.0428713858425,laminar,0.0003694000000000917,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,216.497332572937
channel_26,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_26.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_26.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_26/channel_26.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_26/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_26/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_26/pout.txt,1.0,1791.598,0.0,1791.598,1.0,1.0003692,199.0428713858425,laminar,0.0003101999999998806,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,217.29452872276306
channel_27,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_27.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_27.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_27/channel_27.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_27/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_27/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_27/pout.txt,1.0,1745.5968,0.0,1745.5968,1.0,1.0004499,199.0428713858425,laminar,0.0003936000000000228,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,216.9994285106659
channel_28,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_28.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_28.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_28/channel_28.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_28/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_28/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_28/pout.txt,1.0,1749.2331,0.0,1749.2331,1.0,1.0003667,199.0428713858425,laminar,0.00026919999999999397,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,220.57564425468445
channel_29,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_29.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_29.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_29/channel_29.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_29/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_29/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_29/pout.txt,1.0,1552.2386,0.0,1552.2386,1.0,1.0003586,199.0428713858425,laminar,0.00030100000000005014,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,218.2456555366516
channel_30,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_30.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_30.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_30/channel_30.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_30/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_30/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water/channel_30/pout.txt,1.0,1704.148,0.0,1704.148,1.0,1.0002841,199.0428713858425,laminar,0.00023500000000004095,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,216.11947464942932
