iter,continuity,x-velocity,y-velocity
1,1.0,0.0003309893068304522,4.342916154482967e-05
2,0.6190305683729824,0.0001968322642785852,2.018032903816723e-05
3,0.3808213429760376,0.0001218740463508596,9.987085651594491e-06
4,0.2143913779710736,8.041993339489736e-05,5.245853277864887e-06
5,0.1238301463688489,5.375774919721019e-05,2.980299197952767e-06
6,0.09126397412891707,3.6722462929944e-05,1.82080720900411e-06
7,0.08487939616097676,2.617130546177526e-05,1.197831774133508e-06
8,0.07640430816430849,1.973653104876427e-05,8.696554675480924e-07
9,0.06477361152514341,1.574121909940922e-05,6.955478802952684e-07
10,0.05270630348267919,1.309692411497466e-05,6.012708504727075e-07
11,0.04268116883973379,1.13609079928924e-05,5.428345334375694e-07
12,0.03463803606476943,1.012060314838811e-05,4.943572312110262e-07
13,0.02874833420407806,9.176114230257148e-06,4.534575020194405e-07
14,0.02482285879514809,8.436351150343373e-06,4.169628759080736e-07
15,0.02169940636286054,7.82015331513521e-06,3.849525664899766e-07
16,0.01921256339861978,7.290900717491321e-06,3.581015453887679e-07
17,0.01727029521742404,6.828827873158911e-06,3.352678288666691e-07
18,0.01573611746630448,6.416321966510519e-06,3.155465397900448e-07
19,0.01452322820323633,6.045007402743795e-06,2.98046754848965e-07
20,0.0135212446821852,5.706418204573604e-06,2.825288608103971e-07
21,0.01270949668360966,5.39520619725104e-06,2.686714835041194e-07
22,0.01203091811787916,5.109098777700156e-06,2.558660276919775e-07
23,0.01146169807037209,4.844398612368663e-06,2.441826963443805e-07
24,0.01096507839983308,4.598273152686797e-06,2.333684894682814e-07
25,0.01051988386143961,4.368980051075441e-06,2.233405338673892e-07
26,0.01012332061580313,4.15489473761181e-06,2.139957620422765e-07
27,0.00977570298323599,3.954412026872311e-06,2.052674103366165e-07
28,0.009441206869898838,3.76617062802855e-06,1.968861810742239e-07
29,0.009123663590171562,3.589199903792533e-06,1.888473655335086e-07
30,0.008819371588131867,3.422582009455888e-06,1.809447732805898e-07
31,0.00852597283571754,3.265637877794161e-06,1.733956066719286e-07
32,0.008237680651191166,3.117458711975153e-06,1.660695895541871e-07
33,0.007949788531933483,2.977475402097316e-06,1.589173778456718e-07
34,0.007663720586761034,2.8450914925888e-06,1.519905549403276e-07
35,0.007382556135304446,2.719372171855442e-06,1.451529128576267e-07
36,0.007117508734831177,2.600402035795125e-06,1.385845856080018e-07
37,0.006865235523039854,2.487512917523934e-06,1.322159978824424e-07
38,0.006622653708704704,2.380186758819095e-06,1.26055021388691e-07
39,0.006387059406963194,2.278240373882471e-06,1.201631347630837e-07
40,0.00615642739865304,2.181119199917092e-06,1.144679424613354e-07
41,0.005931276220653209,2.088831395549449e-06,1.090234274766902e-07
42,0.005710451013113214,2.000633838115934e-06,1.037507530484017e-07
43,0.005492800029920124,1.916581860407294e-06,9.870602479969813e-08
44,0.005280149997198021,1.836523674431817e-06,9.390804604568085e-08
45,0.005074466224783014,1.759844096180537e-06,8.928409118065979e-08
46,0.004880498788576814,1.686529955158157e-06,8.489165787009039e-08
47,0.004694264710545104,1.616736689589815e-06,8.076001064922994e-08
48,0.004514208121466192,1.549649943492997e-06,7.67870302006733e-08
49,0.004344673662184561,1.485648381741976e-06,7.306288114541748e-08
50,0.004179533430232672,1.42450371142634e-06,6.955643807420839e-08
51,0.004018289133270211,1.366171301199563e-06,6.626434218545587e-08
52,0.003861882454822242,1.31021807013009e-06,6.312902734759917e-08
53,0.003706893329719848,1.256383492080715e-06,6.012064860152428e-08
54,0.003561263601945576,1.204931963849104e-06,5.728730382170706e-08
55,0.003420545984631952,1.155606932693066e-06,5.459057065876606e-08
56,0.003285992391818524,1.108414536851679e-06,5.203804701584859e-08
57,0.00315558587819743,1.063137822742473e-06,4.960777281395168e-08
58,0.003029622250538261,1.019738143056834e-06,4.730386631809735e-08
59,0.002907096083437066,9.780005572784676e-07,4.510242329552689e-08
60,0.002789462465399481,9.380525898820269e-07,4.302750306025848e-08
61,0.002675994615163946,8.99670129577678e-07,4.10600752519154e-08
62,0.002567273274526132,8.628957547874055e-07,3.921311709794639e-08
63,0.002463146766526529,8.274789692780396e-07,3.746311668719579e-08
64,0.002365207422800227,7.935504316227917e-07,3.582658507602866e-08
65,0.002270940394722741,7.610887998113204e-07,3.430148574758317e-08
66,0.002181271901787432,7.298087369732502e-07,3.28614547224689e-08
67,0.002094561754145614,6.998791306789533e-07,3.151380379533711e-08
68,0.002011020415643479,6.711277893486257e-07,3.02574276282541e-08
69,0.001932049032692568,6.434827545611061e-07,2.909772139253219e-08
70,0.001853679678190377,6.170427771882684e-07,2.802141855315304e-08
71,0.001778272784544925,5.91642459874637e-07,2.701145120491671e-08
72,0.001706946522791232,5.672174033789319e-07,2.60586730981407e-08
73,0.001638176079795533,5.437840356034373e-07,2.51477540788374e-08
74,0.001571926499529176,5.21368735284276e-07,2.427838164480696e-08
75,0.001507410385831681,4.998426186967843e-07,2.343941426223182e-08
76,0.001444592168091705,4.79176435463404e-07,2.263630575094546e-08
77,0.001384857218052125,4.593413693449413e-07,2.186525484068956e-08
78,0.001327708328133417,4.402551280389718e-07,2.112426064911145e-08
79,0.001274028599225267,4.219578069024942e-07,2.041809965919223e-08
80,0.001222056121314678,4.044581328932693e-07,1.974022094286288e-08
81,0.001172605740708323,3.876963900311641e-07,1.90806999920685e-08
82,0.001124790481347313,3.715889322292851e-07,1.843605342855962e-08
83,0.001079011113669447,3.561139407768759e-07,1.78118803679009e-08
84,0.001035472820263784,3.412867778173348e-07,1.720441132746502e-08
85,0.0009921364910009391,3.270663055134423e-07,1.660706281780487e-08
86,0.0009520936262775206,3.134172390184122e-07,1.602348561622628e-08
87,0.0009127232491746208,3.004346527182057e-07,1.545906498906207e-08
88,0.0008744360423635904,2.878905670073916e-07,1.490009709271394e-08
89,0.0008378155760041235,2.758665450719867e-07,1.435354965222755e-08
90,0.000802430200787359,2.643389913401878e-07,1.381993900883224e-08
91,0.0007686564477633891,2.532858250563431e-07,1.330011599481872e-08
92,0.0007364311123982778,2.42687143056218e-07,1.279498396237763e-08
93,0.0007053820510685059,2.325248965259503e-07,1.230165550607853e-08
94,0.000675604124743371,2.227849819457039e-07,1.181957485609902e-08
95,0.0006471453834646502,2.134438198444403e-07,1.135004038062478e-08
96,0.0006196078142296336,2.044858444626634e-07,1.089358942064305e-08
97,0.0005935976377480372,1.958975034471854e-07,1.044910497930555e-08
98,0.0005686847110628085,1.876634958818373e-07,1.001724723354347e-08
99,0.0005450168906259148,1.797689469078403e-07,9.598360119602195e-09
100,0.0005222365109503899,1.722006060688429e-07,9.192230223413128e-09
