case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_00,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_00.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_00/channel_00.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_00/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_00/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_00/pout.txt,1.0,1737.0024,0.0,1737.0024,1.0,1.000546,199.0428713858425,laminar,0.00030029999999986565,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,221.07904863357544
channel_01,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_01.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_01/channel_01.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_01/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_01/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_01/pout.txt,1.0,1800.4558,0.0,1800.4558,1.0,1.0006242,199.0428713858425,laminar,0.00035589999999996046,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,180.31704878807068
channel_02,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_02.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_02/channel_02.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_02/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_02/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_02/pout.txt,1.0,1718.9824,0.0,1718.9824,1.0,1.000361,199.0428713858425,laminar,0.0003242999999999183,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,176.615398645401
channel_03,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_03.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_03/channel_03.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_03/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_03/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_03/pout.txt,1.0,1741.2949,0.0,1741.2949,1.0,1.0003539,199.0428713858425,laminar,0.00026379999999988726,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,174.72830319404602
channel_04,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_04.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_04/channel_04.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_04/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_04/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_04/pout.txt,1.0,1808.4204,0.0,1808.4204,1.0,1.0004595,199.0428713858425,laminar,0.00034950000000005484,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,180.03409790992737
channel_05,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_05.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_05/channel_05.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_05/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_05/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_05/pout.txt,1.0,1581.0075,0.0,1581.0075,1.0,1.0005266,199.0428713858425,laminar,0.0003345999999999612,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,181.71473336219788
channel_06,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_06.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_06/channel_06.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_06/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_06/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_06/pout.txt,1.0,1731.5506,0.0,1731.5506,1.0,1.0004397,199.0428713858425,laminar,0.0003321999999999288,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,176.9290747642517
channel_07,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_07.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_07/channel_07.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_07/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_07/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_07/pout.txt,1.0,1701.1573,0.0,1701.1573,1.0,1.000299,199.0428713858425,laminar,0.00025899999999995805,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,183.23388648033142
channel_08,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_08.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_08/channel_08.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_08/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_08/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_08/pout.txt,1.0,1657.0046,0.0,1657.0046,1.0,1.0003272,199.0428713858425,laminar,0.0003018999999999776,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,182.252947807312
channel_09,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water_uniform/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water_uniform/channel_09.step,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_09/channel_09.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_09/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_09/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/channel_water_uniform/channel_09/pout.txt,1.0,1656.1048,0.0,1656.1048,1.0,1.0003771,199.0428713858425,laminar,0.0003426999999999857,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,176.57972764968872
