case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_000,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_000.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_000.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_000/channel_000.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_000/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_000/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_000/pout.txt,1.0,2538.5326,0.0,2538.5326,1.0,1.0003868,199.0428713858425,laminar,0.0003238999999998903,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,313.92614698410034
channel_001,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_001.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_001.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_001/channel_001.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_001/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_001/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_001/pout.txt,1.0,2533.2797,0.0,2533.2797,1.0,1.0004403,199.0428713858425,laminar,0.00033920000000001193,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,311.490332365036
channel_002,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_002.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_002.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_002/channel_002.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_002/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_002/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_002/pout.txt,1.0,2533.5855,0.0,2533.5855,1.0,1.0003309,199.0428713858425,laminar,0.00026790000000003855,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,313.77005672454834
channel_003,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_003.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_003.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_003/channel_003.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_003/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_003/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_003/pout.txt,1.0,2544.0932,0.0,2544.0932,1.0,1.0003458,199.0428713858425,laminar,0.00028150000000004127,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,313.40417981147766
channel_004,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_004.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_004.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_004/channel_004.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_004/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_004/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_004/pout.txt,1.0,2429.2625,0.0,2429.2625,1.0,1.000411,199.0428713858425,laminar,0.0003173000000001062,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,313.11302185058594
channel_005,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_005.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_005.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_005/channel_005.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_005/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_005/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_005/pout.txt,1.0,2517.3933,0.0,2517.3933,1.0,1.0004218,199.0428713858425,laminar,0.00035409999999997006,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,308.915650844574
channel_006,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_006.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_006.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_006/channel_006.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_006/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_006/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_006/pout.txt,1.0,2540.3219,0.0,2540.3219,1.0,1.0004063,199.0428713858425,laminar,0.00034930000000004085,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,312.0230505466461
channel_007,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_007.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_007.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_007/channel_007.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_007/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_007/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_007/pout.txt,1.0,2538.0823,0.0,2538.0823,1.0,1.0003975,199.0428713858425,laminar,0.0003344000000000827,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,308.78378462791443
channel_008,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_008.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_008.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_008/channel_008.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_008/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_008/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_008/pout.txt,1.0,2451.7328,0.0,2451.7328,1.0,1.0004206,199.0428713858425,laminar,0.0003263000000000582,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,304.1337854862213
channel_009,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_009.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_009.step,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_009/channel_009.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_009/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_009/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/cylinder/channel_009/pout.txt,1.0,2536.75,0.0,2536.75,1.0,1.0003778,199.0428713858425,laminar,0.00031399999999987536,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.6,open_cascade_step_translator_7.4,310.6586048603058
