case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_00,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_00.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_00.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_00/channel_00.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_00/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_00/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_00/pout.txt,0.11752150631489151,3.138466,0.0,3.138466,0.11752151,0.17054593,4.4645815363269765,laminar,0.004268816587553984,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1220.2521142959595
channel_01,"failed: Failed to load CAD geometry from /home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_01.step. Last error: Execute failed: Exception encountered in S_ExecuteTask: FMD conversion of ""/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_01.step"" has failed!
execute failed: '_TaskObject' object has no attribute 'execute'",/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_01.step,,,,,0.2823105159334445,,,,,,,,,,,,,,
channel_02,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_02.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_02/channel_02.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_02/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_02/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_02/pout.txt,0.3987158445396104,12.081209,0.0,12.081209,0.39871585,0.33243571,4.650449811906521,laminar,0.004901240045428551,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1670.9716567993164
channel_03,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_03.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_03/channel_03.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_03/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_03/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_03/pout.txt,0.4699233717248109,11.546059,0.0,11.546059,0.46992339,0.35519871,7.182822979446827,laminar,0.007124959123520104,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1287.3360683918
channel_04,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_04.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_04/channel_04.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_04/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_04/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_04/pout.txt,0.24944565538382865,42.75159,0.0,42.75159,0.24944566,0.75238316,9.42555020828573,laminar,0.0035360352901258212,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1346.1861078739166
channel_05,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_05.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_05/channel_05.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_05/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_05/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_05/pout.txt,0.2911509096094983,8.368175,0.0,8.368175,0.29115092,0.68700355,10.646562811644522,laminar,0.0031687685677148614,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1135.025238275528
channel_06,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_06.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_06/channel_06.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_06/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_06/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_06/pout.txt,0.4130496418518188,12.489926,0.0,12.489926,0.41304965,0.38633403,11.754872706470353,laminar,0.0011562126669039,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1218.8796555995941
channel_07,"failed: Failed to load CAD geometry from /home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_07.step. Last error: Execute failed: Exception encountered in S_ExecuteTask: FMD conversion of ""/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_07.step"" has failed!
execute failed: '_TaskObject' object has no attribute 'execute'",/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_07.step,,,,,0.27692565082715725,,,,,,,,,,,,,,
channel_08,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_08.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_08/channel_08.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_08/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_08/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_08/pout.txt,0.11446508419787849,5.9121643,0.0,5.9121643,0.11446508,0.033816366,3.757649365432527,laminar,0.7073548684627976,False,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1521.879844903946
channel_09,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel/channel_09.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_09/channel_09.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_09/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_09/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel/channel_09/pout.txt,0.3596932620981236,9.9429418,0.0,9.9429418,0.35969327,0.18361721,6.221531646173636,laminar,0.0019181048743521373,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1402.1614291667938
