iter,continuity,x-velocity,y-velocity
1,1.0,0.0003879530745502151,5.709692685142596e-05
2,0.6118284348743136,0.0002194647336481712,2.586026000653423e-05
3,0.4663652977704548,0.0001728379723178559,1.374951641492108e-05
4,0.3641065783646287,0.0001551482654687159,8.59756258718343e-06
5,0.284230795367509,0.0001479421882022027,6.512873695118126e-06
6,0.2164986311832448,0.0001440485864560159,5.451646290490008e-06
7,0.1582317753152915,0.0001409973363002413,4.694176813291268e-06
8,0.1033855950311718,0.0001360658929424101,4.156834182587761e-06
9,0.05554277259220298,0.00012920875948053,3.686408440368603e-06
10,0.03538420202464482,0.0001204599219934293,3.271589113253779e-06
11,0.06411980477347566,0.0001101989963289148,2.949079660214354e-06
12,0.09275707515151728,9.918862403740526e-05,2.66114901159768e-06
13,0.1202829459964212,8.711775518918975e-05,2.409429818233973e-06
14,0.1464495717838149,7.310141549441042e-05,2.255609846333066e-06
15,0.1594646911350964,6.079216795588205e-05,1.997404378912187e-06
16,0.171847425432505,4.703674881674699e-05,1.883525619174262e-06
17,0.1723234189829968,3.553009567952515e-05,1.719001749257068e-06
18,0.1636086995654496,2.621577609674394e-05,1.609503397739587e-06
19,0.1393376050135592,2.113585047135555e-05,1.538851445895933e-06
20,0.1121050271077371,2.251644544418038e-05,1.448686779007606e-06
21,0.08016076658149734,2.387944582604536e-05,1.323390933693257e-06
22,0.05165405426795838,2.301690070666124e-05,1.189451029418233e-06
23,0.02833647831772193,2.094737147798683e-05,1.061077600841406e-06
24,0.02178396919098587,1.784948046937972e-05,9.697835538510021e-07
25,0.02858953415043881,1.515414490002902e-05,8.996065236464223e-07
26,0.03139428916482422,1.456870684925377e-05,8.262335060236443e-07
27,0.03256231092652104,1.479687750849396e-05,7.786851453752429e-07
28,0.03120727391923758,1.510267339053715e-05,7.270053413638482e-07
29,0.0280291296741507,1.53822467790212e-05,6.838934912228228e-07
30,0.02390568410452791,1.557926611697615e-05,6.473578873927485e-07
31,0.01896367626793615,1.555583632698979e-05,6.138469855098939e-07
32,0.01417423170352278,1.529775345893435e-05,5.854339451885861e-07
33,0.01030868557505842,1.49964025123729e-05,5.595033960040146e-07
34,0.007584640206491327,1.467130491224602e-05,5.362413772725845e-07
35,0.007265899847821012,1.419047435046747e-05,5.212958954428466e-07
36,0.008982587465136185,1.362989476802434e-05,5.128357443651296e-07
37,0.01021755533630998,1.308211112647285e-05,5.038365991266192e-07
38,0.01064998267957315,1.258705633757487e-05,4.93918665882721e-07
39,0.01062124158497914,1.213532617411617e-05,4.841109890486249e-07
40,0.01026903289412362,1.172788188243913e-05,4.740440326492367e-07
41,0.009527820804806814,1.138502977412519e-05,4.62916805806068e-07
42,0.008649409762085848,1.110872804423325e-05,4.505763697576468e-07
43,0.0080038091788554,1.085119937777656e-05,4.387839780585495e-07
44,0.007549288681967806,1.061478191670835e-05,4.275313932381889e-07
45,0.007183369594312049,1.039090456009576e-05,4.167165405571084e-07
46,0.006851880004604911,1.017673513929677e-05,4.062755241104861e-07
47,0.006571024106127996,9.973462571894413e-06,3.960729554171779e-07
48,0.006355236638731591,9.7765103734868e-06,3.862617431538997e-07
49,0.006116494739623022,9.589180779249883e-06,3.769803660174886e-07
50,0.005909615489540302,9.407371277605499e-06,3.680898484006447e-07
51,0.005723762283772039,9.232381515137987e-06,3.596319154925614e-07
52,0.005561481728942913,9.063302435899869e-06,3.514348289491593e-07
53,0.005405984210436712,8.899614743707666e-06,3.435755924263751e-07
54,0.005280713245930968,8.741555817730457e-06,3.360174231143591e-07
55,0.005175043840535317,8.588623762419781e-06,3.287773961975315e-07
56,0.005082625943565379,8.440261455327808e-06,3.217744955783533e-07
57,0.004978907281360949,8.296695483120996e-06,3.149752214613764e-07
58,0.004912208956196951,8.156526153426749e-06,3.08443298107846e-07
59,0.004848855685500741,8.02030658362015e-06,3.022248085665343e-07
60,0.004798678892505999,7.887349466735222e-06,2.962413038228955e-07
61,0.00474164887398386,7.757990598232247e-06,2.904458746372754e-07
62,0.004702036624035037,7.631837793349219e-06,2.848503512348275e-07
63,0.004656743883320532,7.508826165912741e-06,2.794478719667064e-07
64,0.004627736478567871,7.388859831608105e-06,2.741948100804642e-07
65,0.004606040292763029,7.27234521119165e-06,2.690634286008303e-07
66,0.004630077296168995,7.157614962543596e-06,2.642960778689875e-07
67,0.00462283671359415,7.045394568143331e-06,2.597888045370449e-07
68,0.004595562004682846,6.936049927382706e-06,2.553719983498395e-07
69,0.00455813291854744,6.829137581543407e-06,2.510165634420451e-07
70,0.004513294870073755,6.724819593387749e-06,2.467229098246833e-07
71,0.004470211592239866,6.622844976965477e-06,2.424580134082036e-07
72,0.004431992327342446,6.523200951791964e-06,2.382835033706403e-07
73,0.004390839896713155,6.425958006460445e-06,2.341941713189753e-07
74,0.004355575168719266,6.330807384027361e-06,2.302884167449399e-07
75,0.004284421809491416,6.237915505245052e-06,2.264037474958319e-07
76,0.004233925610614231,6.147026276417421e-06,2.225517262879016e-07
77,0.004195726799920818,6.058000290357742e-06,2.188427278754427e-07
78,0.004154662069076265,5.970929451734936e-06,2.152982048686126e-07
79,0.004113029701616593,5.885567731876511e-06,2.118573821497547e-07
80,0.00406219820385563,5.80193969023065e-06,2.084952748948858e-07
81,0.004009016751066504,5.720142665806709e-06,2.052215260223371e-07
82,0.003936093264739013,5.640060268879931e-06,2.019018463688287e-07
83,0.003891790556245184,5.561647864325651e-06,1.987107608128858e-07
84,0.003839100264474617,5.484704040600806e-06,1.956525017764983e-07
85,0.003783683788455598,5.409227553736347e-06,1.926432787333762e-07
86,0.003726311624910673,5.335150128293768e-06,1.896682503760348e-07
87,0.003651366654286528,5.262427159720279e-06,1.866606024300669e-07
88,0.00358812315448121,5.191199265233273e-06,1.836776066532183e-07
89,0.003532954338406026,5.121296254802036e-06,1.807632277425041e-07
90,0.003482905387753655,5.052642130063139e-06,1.779557868237325e-07
91,0.003437636376312028,4.985260252466374e-06,1.752371940818558e-07
92,0.00339933463548205,4.919229766998492e-06,1.725936526169983e-07
93,0.003363553198143493,4.854371600733814e-06,1.700345717395825e-07
94,0.003333457884195882,4.790687274640309e-06,1.675601959287061e-07
95,0.00330214773451019,4.728048772163893e-06,1.651373786801408e-07
96,0.003273444088460647,4.666517668151303e-06,1.627759329985606e-07
97,0.003246815296390199,4.60600863044836e-06,1.604702057201849e-07
98,0.003219447776011176,4.546496422244869e-06,1.582001979182047e-07
99,0.003190033489324855,4.487994289869963e-06,1.559779756974762e-07
100,0.003165462220722941,4.430464582220111e-06,1.538157049515316e-07
101,0.003144832335599117,4.373896885761684e-06,1.517187658272477e-07
102,0.003124462189852698,4.31828303308355e-06,1.496864716386652e-07
103,0.003105164930850262,4.263637103502253e-06,1.477060014439495e-07
104,0.003087410550574516,4.209908286506166e-06,1.457793887075658e-07
105,0.003077257613392042,4.157237119772257e-06,1.439580397576174e-07
106,0.003060154144183803,4.105356595542482e-06,1.421895510839531e-07
107,0.003039757454006818,4.054260432977121e-06,1.404375033964857e-07
108,0.003009647338703374,4.003755876973553e-06,1.386505906007163e-07
109,0.002981396503263011,3.954016923463329e-06,1.368694213116297e-07
