case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_01,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_01.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_01/channel_01.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_01/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_01/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_01/pout.txt,0.1,2.8450832,0.0,2.8450832,0.099999999,0.10261535,1.4971944462400615,laminar,0.00034165298097738425,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,777.1519935131073
channel_02,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_02.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_02/channel_02.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_02/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_02/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_02/pout.txt,0.1,2.4356323,0.0,2.4356323,0.1,0.10444911,1.4477439057650883,laminar,0.00035877616992550183,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,751.2220466136932
channel_03,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_03.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_03/channel_03.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_03/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_03/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_03/pout.txt,0.1,2.5026796,0.0,2.5026796,0.099999997,0.10146271,1.2963173569269626,laminar,0.00015408274223744308,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,755.3693509101868
channel_04,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_04.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_04/channel_04.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_04/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_04/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_04/pout.txt,0.1,2.2894691,0.0,2.2894691,0.099999997,0.090994514,1.3148210870125363,laminar,0.0003181581795512688,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,763.1928477287292
channel_05,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_05.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_05/channel_05.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_05/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_05/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_05/pout.txt,0.1,2.5324041,0.0,2.5324041,0.1,0.10734938,1.4668274277440843,laminar,0.0003391155091153527,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,758.8802659511566
channel_06,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_06.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_06/channel_06.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_06/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_06/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_06/pout.txt,0.1,2.6542146,0.0,2.6542146,0.1,0.11302013,1.4947434975345417,laminar,7.78176071786861e-05,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,785.4623391628265
channel_07,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_07.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_07/channel_07.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_07/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_07/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_07/pout.txt,0.1,2.4942038,0.0,2.4942038,0.1,0.097233085,1.4128294908902606,laminar,0.0002598062731797239,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,736.14302277565
channel_08,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_08.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_08/channel_08.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_08/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_08/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_08/pout.txt,0.1,2.4856696,0.0,2.4856696,0.1,0.099242807,1.4761866103333396,laminar,0.0003760721355632049,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,653.4592614173889
channel_09,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_09.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_09/channel_09.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_09/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_09/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_09/pout.txt,0.1,2.817219,0.0,2.817219,0.099999998,0.10774784,1.4983764922018419,laminar,0.00039088515630005514,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,591.1352233886719
channel_10,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_small/channel_10.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_small/channel_10.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_10/channel_10.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_10/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_10/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_small/channel_10/pout.txt,0.1,2.4978333,0.0,2.4978333,0.1,0.094526588,1.4137719147502827,laminar,0.00034096827961420254,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,555.5693757534027
