case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,vin_mps,vout_mps,reynolds_number,flow_regime,mass_conservation_rel_error,physics_ok,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
channel_73,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_73.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_73.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_73/channel_73.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_73/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_73/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_73/pout.txt,0.1,0.0027269786,0.0,0.0027269786,0.1,0.083333459,1977.6588298639601,laminar,0.00034771200447622226,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,655.8505620956421
channel_74,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_74.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_74.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_74/channel_74.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_74/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_74/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_74/pout.txt,0.1,0.0024633275,0.0,0.0024633275,0.1,0.096409001,1690.6111861356048,laminar,0.00020965782448618042,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,420.5042700767517
channel_75,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_75.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_75.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_75/channel_75.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_75/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_75/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_75/pout.txt,0.1,0.0093862899,-7.5793055e-08,0.009386365693055001,0.099999997,0.098843126,2277.0864045536505,laminar,5.355746339302909e-05,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,453.74497175216675
channel_76,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_76.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_76.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_76/channel_76.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_76/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_76/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_76/pout.txt,0.1,0.0079683591,0.0,0.0079683591,0.1,0.12236157,2210.177083456906,laminar,0.0007571590319760879,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,419.36350989341736
channel_77,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_77.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_77.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_77/channel_77.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_77/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_77/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_77/pout.txt,0.1,0.011599967,-5.9446878e-07,0.01160056146878,0.099999998,0.10161802,2418.3433075694556,transitional,0.0001788817403105398,False,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,442.6926531791687
channel_78,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_78.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_78.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_78/channel_78.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_78/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_78/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_78/pout.txt,0.1,0.010175205,0.0,0.010175205,0.099999998,0.13138281,2414.0000884545275,transitional,0.0007363645845780768,False,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,408.68610644340515
channel_79,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_79.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_79.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_79/channel_79.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_79/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_79/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_79/pout.txt,0.1,0.0028841686,0.0,0.0028841686,0.1,0.10514355,1797.8872492427718,laminar,5.892949805321402e-05,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,441.07842087745667
channel_80,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_80.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_80.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_80/channel_80.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_80/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_80/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_80/pout.txt,0.1,0.0071831404,-8.3725394e-08,0.007183224125394,0.1,0.091192733,2141.138580036234,laminar,4.7044364694520594e-05,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,426.0221297740936
channel_81,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_81.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_81.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_81/channel_81.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_81/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_81/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_81/pout.txt,0.1,0.0050559989,0.0,0.0050559989,0.1,0.10228298,2079.4681734566616,laminar,0.0005327983446244343,True,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,461.7274875640869
channel_82,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rand_channel_smooth/channel_82.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rand_channel_smooth/channel_82.step,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_82/channel_82.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_82/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_82/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rand_channel_smooth/channel_82/pout.txt,0.1,0.01154592,-3.5843881e-08,0.011545955843881,0.1,0.10348003,2400.3517014383733,transitional,8.417470178862496e-06,False,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,441.4635581970215
