iter,continuity,x-velocity,y-velocity,energy
1,1.0,0.000603274270357698,3.649301542145296e-05,1.38042303867906e-05
2,0.8461868734599399,0.0006542085276147942,2.498311016692399e-05,1.122715062794336e-05
3,0.6492903527015245,0.0005971438286473627,1.79468036479425e-05,7.983498316794276e-06
4,0.4405481529271646,0.0004813964068929577,1.307841158991188e-05,5.427108664488089e-06
5,0.3009574588442614,0.0003522412934375017,9.773348120902823e-06,4.234259569011475e-06
6,0.2333289304433769,0.0002485023406832982,7.525580209873914e-06,3.700281976771272e-06
7,0.188996352052259,0.00018106826098963,6.038371143739614e-06,3.283952435234115e-06
8,0.1506700534768895,0.000137055539914121,4.958358907750352e-06,2.875149078021186e-06
9,0.1181446783134298,0.0001073991876950801,4.13549873067057e-06,2.460660441770556e-06
10,0.09182347176680468,8.735876630370113e-05,3.481628464305245e-06,2.049575859364801e-06
11,0.07180836855652059,7.315037170569082e-05,2.959456462466225e-06,1.659037502150457e-06
12,0.05715532671743227,6.182307422220109e-05,2.537423943733317e-06,1.304631513260391e-06
13,0.0462468766631184,5.255945336890819e-05,2.192368089525834e-06,9.982268642681076e-07
14,0.03828695284287045,4.490291598628201e-05,1.906620322324058e-06,7.454628247287347e-07
15,0.03232370638674088,3.849382085736075e-05,1.668377739819951e-06,5.451180188630443e-07
16,0.02754641538394461,3.30974006242171e-05,1.467496847625471e-06,3.922279594260409e-07
17,0.02381965854931225,2.851040082782916e-05,1.298014570064181e-06,2.798841167206486e-07
18,0.02076328025939391,2.459877246877842e-05,1.151383026712338e-06,2.001965386317234e-07
19,0.01820751846207944,2.125765430796238e-05,1.023697265114005e-06,1.454486889477763e-07
20,0.01602141847122771,1.839352662483198e-05,9.119788238256634e-07,1.084348999218726e-07
21,0.01418820595763752,1.592424352927947e-05,8.1398384272168e-07,8.351179997562909e-08
22,0.01328280581576817,1.371086395877771e-05,7.239512909397825e-07,6.636662817681372e-08
23,0.01215761729558499,1.184642086321278e-05,6.460350820292261e-07,5.388710336920089e-08
24,0.01093227780946777,1.025406307466499e-05,5.775166419352345e-07,4.43606511304603e-08
25,0.009784759320959025,8.872223874057814e-06,5.15543049600884e-07,3.686889564968911e-08
26,0.008654288037570379,7.678440822540282e-06,4.60328547660229e-07,3.084634558663364e-08
27,0.007646774888098942,6.638676604438998e-06,4.10505592208354e-07,2.592180193760906e-08
28,0.006754266803465794,5.733340622560966e-06,3.654540883217575e-07,2.184927904404933e-08
29,0.00596247197571285,4.944568484734536e-06,3.246177042893872e-07,1.844712679026127e-08
30,0.005264635536313573,4.257790321171648e-06,2.877300085359071e-07,1.558692835976307e-08
31,0.004688543945950337,3.659210973945908e-06,2.545358666586834e-07,1.317016197627381e-08
32,0.004143303874020937,3.141587470806292e-06,2.249251279107537e-07,1.112413788740038e-08
33,0.003684763916179737,2.690552823665774e-06,1.98114100987284e-07,9.386617037642788e-09
34,0.00327541209469605,2.300093921728683e-06,1.741164407911361e-07,7.911449779826463e-09
35,0.002877993200101713,1.96396595460592e-06,1.526751997902189e-07,6.659112707430275e-09
36,0.002526878661541237,1.672867936381851e-06,1.334422486074046e-07,5.595230173919719e-09
37,0.002233714666437301,1.420998920885027e-06,1.163146503120053e-07,4.692260767751083e-09
38,0.001973427087087299,1.205026509997365e-06,1.011948577721289e-07,3.927748357860714e-09
39,0.001740414098136297,1.019916110557616e-06,8.779090549212054e-08,3.281129218395677e-09
40,0.001531450130457842,8.6150910915109e-07,7.596108190024653e-08,2.735247169326095e-09
41,0.001329561045137654,7.265868606499298e-07,6.557695974432818e-08,2.275401204431895e-09
42,0.001155589655635518,6.111664920911744e-07,5.641737050392356e-08,1.8882290338935e-09
43,0.001015198063706104,5.12580521577565e-07,4.840107300364615e-08,1.562977384519706e-09
44,0.0008899343075523357,4.29157402385095e-07,4.14366604947808e-08,1.290829970224104e-09
45,0.0007694553916726443,3.588821580426299e-07,3.539281184099672e-08,1.063649590195903e-09
46,0.0006659344634743937,2.993619752148841e-07,3.014012052781708e-08,8.741243799678288e-10
47,0.0005783924727603644,2.491414938751892e-07,2.560706464743003e-08,7.164859340199667e-10
48,0.0005007328610127518,2.069030239785425e-07,2.169085636227582e-08,5.857156993174914e-10
49,0.0004327220109289683,1.714879950681961e-07,1.832312187839671e-08,4.77518754092569e-10
50,0.0003740997283166962,1.418696506312207e-07,1.544010262658601e-08,3.882382208917022e-10
51,0.0003233846946178167,1.171516468432047e-07,1.298527202476382e-08,3.147660104456572e-10
52,0.000279659832681662,9.656788367248448e-08,1.090282192832871e-08,2.54465567322025e-10
53,0.0002413491420025749,7.945945377769885e-08,9.137279675899758e-09,2.051114228634023e-10
54,0.0002082492318320631,6.52744532763885e-08,7.64266814383856e-09,1.64827956782328e-10
55,0.0001793180218670342,5.353900650859922e-08,6.375869063172606e-09,1.320389712756537e-10
56,0.0001546775220489288,4.385306585841806e-08,5.310150416835357e-09,1.054189176027913e-10
57,0.0001346874389257658,3.585829619088971e-08,4.415684969862918e-09,8.385158704036677e-11
58,0.0001171612992374898,2.929956005931222e-08,3.668109377948163e-09,6.646838414108457e-11
59,0.0001017643638545943,2.392147436163302e-08,3.043483364668891e-09,5.249164448760953e-11
60,8.826458916491128e-05,1.949957728227851e-08,2.52047253261558e-09,4.128736278861155e-11
61,7.630339067565921e-05,1.587256607201215e-08,2.083339842983014e-09,3.231293380594022e-11
62,6.705222582056083e-05,1.283313690710027e-08,1.712989194809278e-09,2.506880732988104e-11
63,5.852608021043722e-05,1.039954166291913e-08,1.412261942388464e-09,1.942032583416262e-11
64,5.084057277767331e-05,8.444085710115203e-09,1.16497853034953e-09,1.497883842949538e-11
65,4.398796169781846e-05,6.864940437839473e-09,9.609326456334038e-10,1.148947858262933e-11
66,3.796157160086644e-05,5.585069335323561e-09,7.929736221001267e-10,8.754814176102609e-12
67,3.269268372865328e-05,4.547472118686668e-09,6.546041600362695e-10,6.618530678929394e-12
68,2.822981508946484e-05,3.706661484276457e-09,5.411266329612383e-10,4.957322419945234e-12
69,2.445581175354076e-05,3.025156085910921e-09,4.480962689358892e-10,3.672566584743266e-12
70,2.123412018599427e-05,2.47354143313665e-09,3.717904505386664e-10,2.686394644464236e-12
71,1.851848586657006e-05,2.027550536798979e-09,3.091996400152201e-10,1.93698676410195e-12
72,1.622381097691543e-05,1.667415132026963e-09,2.582606891470887e-10,1.375576256180852e-12
73,1.429483634806749e-05,1.37699944822184e-09,2.168330957149693e-10,9.639049298801091e-13
