case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,tin_txt,tout_txt,tin_k,tout_k,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
rect_ar01,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar01.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar01.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar01/rect_ar01.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar01/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar01/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar01/pout.txt,0.1,0.0013730489,0.0,0.0013730489,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar01/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar01/tout.txt,272.99999,273.1059,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,340.51366806030273
rect_ar02,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar02.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar02.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar02/rect_ar02.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar02/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar02/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar02/pout.txt,0.1,0.0019455764,0.0,0.0019455764,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar02/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar02/tout.txt,272.99999,273.14653,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,379.39759135246277
rect_ar03,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar03.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar03.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar03/rect_ar03.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar03/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar03/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar03/pout.txt,0.1,0.0023991816,0.0,0.0023991816,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar03/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar03/tout.txt,272.99999,273.17636,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,427.1422655582428
rect_ar04,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar04.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar04.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar04/rect_ar04.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar04/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar04/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar04/pout.txt,0.1,0.002782845,0.0,0.002782845,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar04/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar04/tout.txt,272.99999,273.20076,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,471.3215346336365
rect_ar05,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar05.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar05.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar05/rect_ar05.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar05/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar05/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar05/pout.txt,0.1,0.0031307702,0.0,0.0031307702,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar05/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar05/tout.txt,272.99999,273.2212,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,504.6552152633667
rect_ar06,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar06.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar06.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar06/rect_ar06.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar06/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar06/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar06/pout.txt,0.1,0.0034408358,0.0,0.0034408358,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar06/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar06/tout.txt,272.99999,273.2395,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,555.2006533145905
rect_ar07,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar07.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar07.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar07/rect_ar07.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar07/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar07/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar07/pout.txt,0.1,0.0037331949,0.0,0.0037331949,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar07/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar07/tout.txt,272.99999,273.25591,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,580.9284331798553
rect_ar08,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar08.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar08.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar08/rect_ar08.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar08/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar08/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar08/pout.txt,0.1,0.0040082989,0.0,0.0040082989,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar08/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar08/tout.txt,272.99999,273.27066,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,632.762214422226
rect_ar09,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar09.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar09.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar09/rect_ar09.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar09/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar09/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar09/pout.txt,0.1,0.0042730508,0.0,0.0042730508,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar09/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar09/tout.txt,272.99999,273.28482,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,696.7680079936981
rect_ar10,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar10.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar10.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar10/rect_ar10.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar10/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar10/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar10/pout.txt,0.1,0.0045186966,0.0,0.0045186966,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar10/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar10/tout.txt,272.99999,273.29705,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,767.0553295612335
